#{"t_start": 1771977604.8311455, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.071632
15.0,414,2.333804
21.0,434,2.645883
14.0,534,2.989564
7.0,322,3.224351
15.0,530,3.552203
18.0,416,3.833394
11.0,402,4.082947
10.0,440,4.377533
11.0,378,4.614506
8.0,386,4.865074
6.0,352,5.098789
24.0,506,5.411768
15.0,386,5.661298
22.0,432,5.944129
12.0,382,6.193712
15.0,424,6.475099
12.0,388,6.724226
15.0,392,6.974271
10.0,332,7.179029
20.0,404,7.442881
22.0,536,7.785937
14.0,694,8.223643
18.0,400,13.817944
14.0,334,19.755804
7.0,310,25.208875
8.0,318,30.965484
11.0,500,39.755897
15.0,416,47.067519
14.0,398,54.161361
17.0,430,61.63059
7.0,362,67.865053
17.0,378,74.647073
18.0,428,82.099365
14.0,380,88.6777
22.0,474,97.100276
9.0,408,104.255479
26.0,506,113.037527
9.0,342,119.146259
14.0,366,125.521361
19.0,484,133.974147
5.0,312,139.552672
12.0,416,146.864987
17.0,438,154.520802
27.0,508,163.552548
17.0,420,170.974311
9.0,354,177.19876
6.0,356,183.59891
13.0,342,189.600023
17.0,520,198.708754
10.0,338,204.692539
16.0,402,211.834302
12.0,366,218.365117
11.0,348,224.3799
18.0,426,232.106575
9.0,338,238.099897
13.0,358,244.364672
17.0,376,251.247397
20.0,498,260.223714
12.0,346,266.411933
23.0,492,275.380901
23.0,478,283.864729
9.0,320,289.536312
10.0,364,296.204835
18.0,426,303.865279
16.0,516,313.395784
21.0,544,323.382633
13.0,346,329.506052
13.0,396,336.583586
10.0,322,342.473849
19.0,452,350.561368
21.0,470,358.928021
23.0,558,369.122335
16.0,382,376.020954
15.0,576,386.413607
14.0,396,393.551204
9.0,364,400.020564
19.0,456,408.415823
13.0,350,414.677607
14.0,432,422.457959
36.0,580,432.975196
14.0,412,440.35594
14.0,398,447.469402
18.0,452,455.723898
53.0,618,466.880504
19.0,438,475.007212
14.0,394,482.115851
15.0,420,489.740676
28.0,554,500.094687
8.0,326,506.021131
10.0,372,512.786757
13.0,366,519.565344
12.0,372,526.318684
19.0,460,534.677746
7.0,348,541.145762
22.0,450,549.224301
8.0,324,555.05193
11.0,388,562.240186
15.0,462,570.658333
15.0,426,578.411862
16.0,438,586.584457
30.0,594,597.458415
42.0,630,608.942147
12.0,410,616.364718
11.0,428,624.161696
15.0,662,636.395589
15.0,402,643.739464
16.0,428,651.671063
20.0,454,660.021519
16.0,410,667.505141
15.0,482,676.443769
14.0,372,683.278463
11.0,336,689.458899
12.0,394,696.786672
11.0,328,702.757248
23.0,424,710.474811
14.0,506,719.896596
11.0,370,726.600493
12.0,352,733.045034
20.0,440,741.365465
22.0,650,753.365428
19.0,486,762.505017
19.0,430,770.333911
22.0,524,779.833749
44.0,790,794.458677
13.0,430,802.42186
21.0,546,812.475854
13.0,476,821.161747
17.0,610,832.585346
18.0,432,840.460125
10.0,368,847.395981
12.0,372,854.389951
12.0,390,861.492344
20.0,420,869.241079
17.0,422,877.052009
14.0,372,883.881382
17.0,438,892.121565
13.0,406,899.709531
17.0,438,907.755141
18.0,390,915.130811
13.0,352,921.615494
10.0,500,930.710181
15.0,514,940.364314
13.0,352,946.903178
25.0,518,956.522074
20.0,610,967.880819
13.0,384,974.990342
28.0,588,986.183953
10.0,536,996.161143
16.0,514,1005.802018
21.0,430,1013.818114
12.0,340,1020.020678
16.0,440,1028.349814
14.0,380,1035.442734
18.0,412,1043.114505
10.0,382,1050.380481
16.0,450,1058.803003
12.0,374,1065.714944
17.0,450,1074.194228
14.0,382,1081.286555
14.0,406,1089.020394
24.0,430,1097.179428
9.0,392,1104.599986
30.0,670,1117.193163
15.0,518,1126.943506
17.0,504,1136.552807
16.0,410,1144.302597
30.0,516,1153.989503
21.0,556,1164.459195
10.0,318,1170.411743
20.0,508,1179.942288
21.0,424,1187.974174
20.0,418,1195.782976
22.0,486,1205.239934
16.0,446,1213.568577
11.0,608,1225.194714
14.0,470,1234.037955
12.0,418,1241.974444
12.0,402,1249.553232
28.0,594,1260.724772
19.0,486,1270.037839
17.0,444,1278.44308
10.0,382,1285.63048
19.0,422,1293.630201
17.0,430,1301.708845
18.0,510,1311.350091
15.0,614,1322.994152
18.0,396,1330.50552
20.0,478,1339.583444
14.0,358,1346.333347
15.0,404,1354.114871
13.0,430,1362.192947
16.0,422,1370.145455
9.0,412,1378.101141
15.0,350,1384.756694
14.0,420,1392.583745
12.0,338,1399.117217
12.0,450,1407.677039
26.0,486,1416.927295
19.0,510,1426.630167
17.0,420,1434.505972
13.0,440,1442.978966
24.0,496,1452.396117
14.0,494,1461.833618
13.0,442,1470.271821
21.0,518,1480.06833
25.0,536,1490.474497
17.0,456,1499.22236
26.0,524,1509.27774
14.0,444,1517.818629
21.0,628,1529.806983
15.0,656,1542.193857
32.0,548,1552.741384
18.0,402,1560.398293
23.0,556,1570.973622
23.0,464,1579.942707
27.0,534,1590.240379
22.0,430,1598.661939
15.0,446,1607.161113
23.0,500,1616.943492
11.0,444,1625.603549
17.0,424,1633.702539
20.0,448,1642.473993
12.0,466,1651.474817
15.0,408,1659.301684
37.0,676,1672.333202
8.0,310,1678.240061
14.0,386,1685.833509
17.0,434,1694.192099
18.0,500,1703.723883
16.0,494,1713.396439
33.0,628,1725.583606
25.0,460,1734.583988
26.0,484,1743.927666
18.0,450,1752.740123
22.0,466,1761.786375
9.0,396,1769.473943
21.0,476,1778.802464
15.0,424,1786.973644
19.0,492,1796.694882
23.0,512,1806.535826
18.0,442,1815.131736
13.0,608,1826.865286
16.0,482,1836.301673
13.0,402,1844.192772
17.0,530,1854.428646
18.0,460,1863.474653
20.0,464,1872.458009
16.0,430,1880.849971
31.0,592,1892.411761
14.0,422,1900.5525
15.0,410,1908.681295
7.0,356,1915.662019
50.0,590,1927.224344
14.0,374,1934.552269
13.0,466,1943.521143
36.0,629,1955.87994
26.0,524,1966.036242
20.0,528,1976.536605
21.0,430,1984.942552
21.0,426,1993.495631
15.0,402,2001.28663
22.0,518,2011.474855
18.0,384,2019.006613
20.0,462,2027.95878
16.0,460,2037.161705
16.0,392,2044.818756
17.0,466,2053.95831
17.0,456,2063.006248
17.0,502,2072.786892
22.0,446,2081.622117
28.0,564,2092.723798
10.0,464,2102.037239
16.0,550,2112.892665
24.0,526,2123.296616
17.0,442,2132.051727
21.0,398,2139.897722
14.0,440,2148.724289
28.0,532,2159.114777
20.0,430,2167.583235
24.0,572,2178.958094
18.0,384,2186.377797
18.0,518,2196.817874
20.0,470,2206.03672
30.0,589,2217.818049
27.0,686,2231.474725
26.0,582,2243.067762
12.0,412,2251.145984
14.0,412,2259.397983
12.0,390,2267.067954
17.0,470,2276.532103
13.0,454,2285.567658
33.0,568,2296.676723
11.0,374,2304.208062
20.0,446,2313.021201
14.0,350,2319.928117
15.0,464,2329.303064
18.0,464,2338.463757
19.0,512,2348.694139
15.0,456,2357.771518
19.0,480,2367.39659
20.0,570,2378.536983
13.0,392,2386.553554
44.0,1656,2419.724849
22.0,562,2430.958588
9.0,360,2438.16195
13.0,406,2446.193205
17.0,438,2455.076816
13.0,380,2462.659717
12.0,406,2470.64612
12.0,416,2479.051909
17.0,402,2487.020874
17.0,468,2496.404559
16.0,398,2504.364964
32.0,594,2516.287405
16.0,404,2524.568061
13.0,468,2533.881083
34.0,548,2544.989024
30.0,520,2555.259216
16.0,418,2563.817657
16.0,412,2572.193742
17.0,532,2582.974324
21.0,412,2591.505247
15.0,624,2604.038988
21.0,514,2614.539411
19.0,492,2624.45995
19.0,448,2633.661276
15.0,438,2642.412207
15.0,460,2651.692972
22.0,478,2661.27047
17.0,502,2671.50579
11.0,530,2682.193308
18.0,580,2693.879836
19.0,544,2704.975836
17.0,674,2718.58337
19.0,498,2728.584541
16.0,356,2735.770481
25.0,470,2745.278195
23.0,478,2755.052359
16.0,528,2765.819003
13.0,480,2775.444114
14.0,466,2784.989363
16.0,442,2793.957828
20.0,532,2804.645946
23.0,498,2814.714125
29.0,666,2828.302179
22.0,518,2838.746835
16.0,404,2846.84948
18.0,532,2857.755808
19.0,408,2865.973328
17.0,552,2877.458666
11.0,366,2884.787427
17.0,458,2894.318485
15.0,418,2902.730301
14.0,428,2911.442604
14.0,388,2919.585293
24.0,444,2928.63073
11.0,436,2937.568071
18.0,434,2946.475152
22.0,510,2956.926769
17.0,502,2967.364832
10.0,462,2976.754745
22.0,488,2986.910924
14.0,510,2997.286395
13.0,474,3007.130062
18.0,472,3016.645727
28.0,582,3028.600849
31.0,594,3040.723957
12.0,370,3048.36019
25.0,516,3058.963047
14.0,462,3068.536633
18.0,444,3077.724078
21.0,408,3086.100074
12.0,438,3095.256506
23.0,712,3109.818261
15.0,484,3119.849127
21.0,394,3127.866141
23.0,558,3139.520517
24.0,722,3154.459374
10.0,368,3162.128071
18.0,436,3171.069253
15.0,408,3179.582853
19.0,538,3190.614786
11.0,404,3198.84873
14.0,430,3207.723587
38.0,665,3221.46852
16.0,444,3230.708343
12.0,364,3238.146344
25.0,570,3250.122655
16.0,500,3260.410889
10.0,416,3269.052174
19.0,476,3278.849645
24.0,600,3291.380923
11.0,390,3299.412907
19.0,596,3311.787364
18.0,580,3323.803787
16.0,404,3332.351695
21.0,558,3343.928482
24.0,498,3354.396651
14.0,488,3364.536062
22.0,446,3373.822627
17.0,584,3385.94348
16.0,572,3397.834227
13.0,572,3409.75621
22.0,506,3420.380333
13.0,400,3428.714777
21.0,456,3438.271364
21.0,508,3448.928303
24.0,624,3462.03707
