#{"t_start": 1771227001.4706552, "env_id": "ALE/Pacman-v5"}
r,l,t
22.0,504,2.591141
10.0,406,2.860426
16.0,424,3.178127
19.0,472,3.510971
11.0,396,3.792154
28.0,482,4.12342
25.0,546,4.496915
9.0,354,4.737091
22.0,484,5.061515
18.0,392,5.31753
14.0,444,5.615776
16.0,462,6.033382
7.0,350,6.34302
10.0,414,6.723412
19.0,664,7.227603
11.0,342,7.458868
14.0,390,7.723241
12.0,394,7.980853
13.0,410,8.253399
13.0,414,8.532063
11.0,388,8.79362
17.0,412,9.064587
14.0,344,9.291669
15.0,448,10.527729
13.0,404,11.637415
8.0,316,12.532688
12.0,334,13.4747
14.0,420,14.650049
15.0,464,15.954702
14.0,422,17.172735
11.0,324,18.096774
12.0,470,19.441366
11.0,382,20.543276
13.0,402,21.702922
20.0,540,23.240399
8.0,376,24.30758
20.0,548,25.901353
15.0,424,27.177221
14.0,660,29.233289
10.0,396,30.411765
15.0,362,31.434415
9.0,414,32.590719
9.0,352,33.663088
15.0,532,35.229251
11.0,376,36.302794
24.0,518,37.868209
10.0,360,39.012488
13.0,328,39.984005
11.0,366,41.117016
8.0,376,42.383934
10.0,374,43.500194
13.0,336,44.507728
7.0,292,45.371374
15.0,398,46.576124
17.0,430,47.92303
7.0,362,49.045665
25.0,456,50.441004
69.0,834,52.977519
24.0,538,54.556004
12.0,360,55.641595
12.0,340,56.696648
16.0,498,58.190511
18.0,454,59.604016
14.0,396,60.947444
16.0,426,62.402449
8.0,340,63.481279
18.0,370,64.650959
12.0,400,65.992378
10.0,458,67.544796
19.0,380,68.857944
23.0,542,70.896852
5.0,288,71.895459
14.0,374,73.17207
18.0,402,74.548449
18.0,454,76.261071
19.0,456,77.922365
17.0,490,79.793956
10.0,402,81.133658
22.0,482,82.701304
10.0,390,83.968735
22.0,446,85.425256
12.0,450,86.946117
31.0,524,88.640687
20.0,460,90.112236
24.0,474,91.630861
26.0,528,93.384869
22.0,480,94.976232
21.0,500,96.641495
15.0,408,98.022369
10.0,384,99.282652
13.0,380,100.633721
14.0,448,102.114625
36.0,782,104.781535
17.0,464,106.452188
29.0,818,109.335982
22.0,558,111.383227
15.0,464,113.096773
21.0,434,114.643786
18.0,408,116.069337
17.0,482,117.753338
17.0,482,119.463876
21.0,450,120.999794
14.0,340,122.313521
27.0,478,124.214414
23.0,464,125.863081
19.0,446,127.454725
22.0,462,129.161954
23.0,596,131.696582
21.0,456,133.639838
18.0,486,135.702897
45.0,740,138.837302
32.0,576,141.199097
25.0,442,142.958965
13.0,454,144.767719
22.0,446,146.520442
19.0,482,148.394909
30.0,548,150.771139
49.0,624,153.654423
18.0,458,155.543093
27.0,486,157.593252
15.0,400,159.237416
21.0,426,160.886521
16.0,394,162.518531
36.0,522,164.708413
39.0,812,168.014644
48.0,640,170.379416
45.0,696,172.851163
14.0,390,174.280758
21.0,384,175.801944
57.0,766,178.60733
47.0,658,181.192797
21.0,464,182.863285
41.0,762,185.663165
22.0,416,187.280586
14.0,454,188.944638
26.0,484,190.724691
11.0,354,192.038577
95.0,858,195.341725
27.0,446,197.081124
27.0,532,199.148846
34.0,504,200.999615
16.0,396,202.51684
24.0,508,204.550014
57.0,878,207.906841
31.0,606,210.198605
36.0,730,213.183721
27.0,408,214.860704
14.0,344,216.340862
17.0,374,217.890645
102.0,694,220.536199
58.0,624,222.918238
37.0,680,225.673509
74.0,848,228.964573
124.0,802,231.991976
21.0,426,233.614389
32.0,510,235.515726
20.0,422,237.254219
30.0,540,239.435694
22.0,446,241.145324
35.0,532,243.282482
18.0,384,244.748468
57.0,854,248.182838
60.0,934,251.630429
28.0,680,254.241128
45.0,700,256.867539
30.0,440,258.619055
94.0,976,262.470563
32.0,594,264.91041
39.0,638,267.498475
53.0,742,270.46202
58.0,541,272.696898
49.0,694,275.544163
47.0,820,278.780398
38.0,650,281.353992
59.0,1066,285.492119
36.0,624,287.956499
50.0,844,291.412086
48.0,742,294.401483
62.0,589,296.807323
23.0,428,298.644185
64.0,650,301.234869
41.0,659,304.022177
24.0,426,305.777603
37.0,560,308.028528
18.0,384,309.723306
62.0,616,312.193391
27.0,460,314.089588
43.0,458,316.07167
31.0,512,318.766008
30.0,448,321.208935
52.0,902,325.023349
35.0,508,327.196879
29.0,486,329.529698
45.0,768,333.463696
48.0,792,337.734281
62.0,928,341.577315
35.0,606,344.024135
35.0,504,345.969028
45.0,587,348.793863
96.0,862,352.787135
46.0,672,355.603524
35.0,506,357.933366
68.0,618,360.813074
31.0,524,362.921828
68.0,638,365.392671
38.0,508,367.444793
30.0,450,369.274019
57.0,656,371.803849
31.0,428,373.501675
43.0,475,375.38492
38.0,492,377.557868
35.0,576,379.960624
27.0,480,382.265758
41.0,515,384.551722
75.0,776,387.920755
61.0,792,391.056676
51.0,726,393.828559
61.0,864,397.180472
42.0,576,399.462975
38.0,550,401.691597
339.0,557,404.069415
35.0,472,406.007858
51.0,678,408.555949
33.0,518,410.52133
68.0,858,413.920467
47.0,572,416.128563
