#{"t_start": 1771238871.882223, "env_id": "ALE/Pacman-v5"}
r,l,t
22.0,504,2.131073
10.0,406,2.372317
16.0,424,2.654339
19.0,472,2.935837
11.0,396,3.177735
28.0,482,3.464554
25.0,546,3.78952
9.0,354,4.001968
22.0,484,4.292264
18.0,392,4.525744
14.0,444,4.789285
16.0,462,5.067368
7.0,350,5.278684
10.0,414,5.524148
19.0,664,5.914656
11.0,342,6.121004
14.0,390,6.355588
12.0,394,6.588955
13.0,410,6.833433
13.0,414,7.078592
11.0,388,7.317369
17.0,412,7.562473
14.0,344,7.773801
15.0,432,8.884637
32.0,652,10.601461
11.0,346,11.561499
25.0,442,12.740353
9.0,328,13.651284
13.0,458,14.889455
19.0,446,16.112991
11.0,372,17.135157
10.0,346,18.05676
18.0,456,19.28502
16.0,364,20.262117
8.0,360,21.284471
18.0,524,22.682268
13.0,432,23.864469
12.0,378,24.952007
20.0,416,26.326436
29.0,612,28.241124
17.0,336,29.290645
29.0,454,30.742404
15.0,476,32.184361
12.0,334,33.14221
9.0,502,34.585546
22.0,458,35.905637
21.0,894,38.493765
25.0,400,39.692484
15.0,354,40.719358
30.0,536,42.213457
18.0,380,43.287306
9.0,352,44.288183
11.0,426,45.543633
19.0,634,47.379497
17.0,408,48.626923
22.0,528,50.42359
27.0,486,51.981092
14.0,338,53.125493
10.0,424,54.549145
22.0,488,56.020783
19.0,552,57.704455
6.0,288,58.623074
8.0,326,59.663023
16.0,410,60.927245
18.0,398,62.207391
20.0,444,63.569725
17.0,468,65.079078
12.0,354,66.169761
28.0,522,67.805341
22.0,452,69.177059
9.0,380,70.352612
25.0,704,72.695023
21.0,594,74.734283
25.0,746,77.441426
21.0,438,78.850102
18.0,470,80.330452
20.0,594,82.219194
22.0,514,83.930772
15.0,362,85.03881
21.0,458,86.477144
13.0,408,87.761789
13.0,366,88.951476
22.0,460,90.433053
22.0,456,91.86727
20.0,614,93.839105
11.0,326,94.846406
16.0,498,96.589036
13.0,352,97.854549
16.0,436,99.306854
13.0,398,100.710268
20.0,474,102.32583
35.0,582,104.233022
21.0,406,105.599701
10.0,376,106.871989
17.0,426,108.278434
20.0,406,109.689354
26.0,442,111.168497
17.0,468,112.674921
13.0,434,114.077187
20.0,472,115.614635
20.0,450,117.124463
16.0,662,119.502012
22.0,456,121.14489
22.0,486,123.021282
22.0,488,124.841826
18.0,398,126.25045
24.0,488,127.934468
16.0,420,129.407244
17.0,494,131.081079
12.0,440,132.674525
28.0,530,134.727593
14.0,402,136.142905
15.0,376,137.436553
20.0,428,138.91062
22.0,446,140.463374
21.0,414,141.954769
25.0,552,144.198044
24.0,452,146.01932
50.0,537,148.0972
30.0,530,150.01576
14.0,486,151.79204
16.0,464,153.557824
30.0,562,155.610322
20.0,448,157.301769
23.0,460,158.980011
33.0,606,161.087435
15.0,358,162.320459
86.0,501,164.06059
37.0,628,166.534084
17.0,486,168.473484
17.0,470,170.40006
60.0,1014,174.077183
21.0,534,176.014507
26.0,512,177.865131
23.0,496,179.713249
345.0,920,182.943648
32.0,643,185.23974
21.0,520,187.124865
19.0,372,188.574939
13.0,442,190.42211
17.0,414,192.029124
72.0,839,195.348244
70.0,940,198.861292
17.0,398,200.353793
21.0,398,201.795588
42.0,680,204.345231
21.0,508,206.164361
35.0,646,208.451181
22.0,496,210.342141
21.0,470,212.255773
49.0,612,214.808278
33.0,500,216.867928
36.0,666,219.363964
27.0,499,221.235854
20.0,446,222.924061
20.0,440,224.560034
59.0,722,227.359842
34.0,598,229.566508
47.0,738,232.229662
21.0,398,233.833264
56.0,608,236.431659
120.0,734,239.432999
45.0,704,242.143473
46.0,652,244.667213
31.0,488,246.521121
59.0,1006,250.299628
30.0,526,252.287517
27.0,496,254.144976
38.0,510,256.053506
26.0,576,258.436541
22.0,402,260.159599
21.0,470,262.116471
43.0,616,264.515058
25.0,410,266.129063
33.0,598,268.513185
37.0,594,270.776028
28.0,428,272.409202
57.0,598,274.72999
40.0,614,277.051302
25.0,494,278.979323
22.0,402,280.749582
35.0,488,282.884912
19.0,356,284.527864
63.0,638,287.132304
38.0,492,289.105091
18.0,386,290.606924
25.0,498,292.548534
31.0,502,294.522608
34.0,552,296.723185
31.0,456,298.476497
53.0,600,300.794652
28.0,448,302.568892
25.0,462,304.599034
60.0,730,307.849339
39.0,664,310.62902
51.0,790,313.780967
46.0,678,316.45093
29.0,500,318.487811
53.0,644,321.034234
32.0,508,323.02412
106.0,692,325.890732
37.0,680,328.915751
54.0,738,332.228481
33.0,560,334.556047
40.0,666,337.292447
24.0,390,338.829626
28.0,474,340.695136
30.0,546,342.843525
43.0,642,345.342678
34.0,496,347.294451
28.0,576,349.786938
27.0,490,351.972509
39.0,818,355.391905
27.0,424,357.127807
66.0,602,359.634599
24.0,504,361.674454
37.0,586,363.986112
21.0,472,365.853991
29.0,466,367.681158
29.0,602,370.086366
30.0,468,372.233908
37.0,468,374.449533
32.0,442,376.481426
28.0,490,378.528856
34.0,552,380.784375
20.0,584,383.132523
33.0,502,385.286469
27.0,482,387.195821
30.0,574,389.520951
43.0,536,391.679157
27.0,460,393.587602
27.0,508,395.927647
29.0,522,398.323488
54.0,694,401.320691
43.0,760,404.45572
38.0,502,406.463047
38.0,592,408.892837
45.0,558,411.120036
36.0,464,412.952864
38.0,432,414.680863
37.0,448,416.569432
36.0,490,418.732541
46.0,540,421.20918
31.0,446,423.184156
37.0,466,425.054866
42.0,486,427.026909
34.0,440,428.811108
43.0,562,431.044389
40.0,494,433.167001
42.0,508,435.186706
37.0,444,436.95634
57.0,744,439.997472
55.0,708,443.219738
34.0,450,445.327591
35.0,464,447.276504
41.0,486,449.290291
37.0,512,451.449346
37.0,474,453.373743
37.0,478,455.342183
117.0,586,457.71773
42.0,546,459.905673
120.0,916,463.639393
72.0,754,466.993717
21.0,418,468.819854
45.0,492,470.86729
37.0,538,473.022198
34.0,438,474.837569
24.0,436,476.570316
40.0,626,479.105397
45.0,608,481.505027
36.0,422,483.188229
42.0,488,485.173033
190.0,746,488.679572
37.0,412,490.636135
42.0,444,492.483885
64.0,746,495.557952
186.0,585,497.913791
44.0,486,499.862129
55.0,492,501.853861
43.0,446,503.651964
36.0,424,505.342396
351.0,934,509.137859
54.0,522,511.515215
92.0,899,515.483913
345.0,700,518.363449
33.0,418,520.037593
