#{"t_start": 1771817794.4238434, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.342455
15.0,414,2.617337
21.0,434,2.964215
14.0,534,3.398986
7.0,322,3.623564
15.0,530,3.963552
18.0,416,4.226846
11.0,402,4.486281
10.0,440,4.784089
11.0,378,5.027832
8.0,386,5.27529
6.0,352,5.52411
24.0,506,5.85208
15.0,386,6.102082
22.0,432,6.387794
12.0,382,6.639196
15.0,424,6.911789
12.0,388,7.156372
15.0,392,7.43034
10.0,332,7.645942
20.0,404,7.93638
22.0,536,8.283063
14.0,694,8.729276
48.0,804,10.610295
57.0,760,12.471353
28.0,576,13.994266
20.0,442,15.17494
22.0,404,16.207388
14.0,340,17.153064
69.0,766,19.098915
30.0,610,20.590827
16.0,584,22.033989
22.0,382,22.974766
129.0,956,25.66393
193.0,829,28.065402
12.0,382,29.16879
42.0,594,30.818752
22.0,448,32.254887
8.0,352,33.218759
23.0,496,34.604124
20.0,414,36.030277
20.0,480,37.518804
11.0,366,38.532839
12.0,456,39.784339
20.0,488,41.177625
12.0,444,42.418215
34.0,648,44.180753
8.0,338,45.103624
15.0,428,46.290509
87.0,678,48.318718
51.0,670,50.138458
28.0,466,51.456975
24.0,450,52.687653
11.0,418,53.822451
12.0,358,54.797844
27.0,468,56.117795
35.0,688,58.004954
20.0,412,59.153405
14.0,494,60.491415
13.0,392,61.570577
35.0,660,63.507326
22.0,504,64.994688
36.0,607,66.91334
11.0,410,68.108486
15.0,546,69.682335
31.0,700,71.721739
11.0,436,73.084364
45.0,467,74.497119
37.0,846,76.822055
18.0,558,78.460226
31.0,692,80.601169
23.0,618,82.430773
21.0,492,83.788184
42.0,630,85.501667
48.0,742,87.633559
27.0,493,88.971106
27.0,564,90.806126
24.0,514,92.307391
14.0,404,93.499922
35.0,720,95.701152
16.0,490,97.196605
30.0,489,98.552568
91.0,686,100.593621
177.0,942,103.174505
57.0,690,105.103355
65.0,1132,108.220746
22.0,488,109.653291
28.0,594,111.47787
46.0,584,113.154643
33.0,706,115.179478
87.0,1000,118.527963
28.0,502,120.035445
27.0,578,121.793079
48.0,530,123.358591
10.0,412,124.520852
10.0,464,125.804617
36.0,692,127.701844
14.0,496,129.060392
168.0,732,131.148687
19.0,580,132.94974
27.0,668,134.790185
29.0,532,136.440867
17.0,444,137.884648
17.0,546,139.342014
101.0,800,141.675436
57.0,870,144.129112
17.0,484,145.490328
25.0,541,147.015163
49.0,582,148.773806
31.0,644,150.92949
17.0,404,152.214912
97.0,682,154.123196
34.0,766,156.32643
30.0,512,157.75744
33.0,530,159.25669
28.0,572,160.83112
34.0,682,162.663929
30.0,666,164.444212
48.0,792,166.579267
36.0,606,168.227317
42.0,608,169.89327
247.0,786,172.090042
38.0,510,173.605032
333.0,526,175.380328
36.0,465,176.787928
35.0,556,178.551224
24.0,416,179.73759
31.0,520,181.172372
51.0,890,183.633743
44.0,716,185.732766
62.0,1084,188.708794
38.0,602,190.341227
40.0,720,192.478541
85.0,566,194.049909
59.0,578,195.650137
62.0,878,198.040114
51.0,676,199.903731
43.0,678,201.911175
53.0,908,204.567326
49.0,756,206.700533
42.0,730,208.708945
45.0,626,210.643985
36.0,658,212.625412
38.0,770,214.768217
32.0,696,216.66429
34.0,650,218.427666
38.0,666,220.262568
41.0,658,222.059493
49.0,744,224.152962
53.0,830,226.422388
33.0,732,228.412003
48.0,581,229.975278
25.0,454,231.238327
31.0,464,232.647044
143.0,1148,235.782447
83.0,830,238.075116
31.0,476,239.367228
40.0,588,240.961523
42.0,706,243.05512
55.0,757,245.15989
36.0,700,247.066782
46.0,664,248.849262
48.0,622,250.53076
49.0,738,252.513873
53.0,780,254.619431
56.0,759,256.643794
29.0,496,257.961456
33.0,668,259.727247
63.0,860,262.056366
22.0,524,263.490648
45.0,738,265.537667
61.0,702,267.603248
47.0,719,269.57317
130.0,4856,282.940746
57.0,658,284.723308
36.0,684,286.583856
55.0,768,288.667177
49.0,912,291.151478
80.0,1178,294.301692
38.0,664,296.100446
72.0,960,298.718904
42.0,814,300.917389
40.0,676,302.803632
97.0,574,304.350898
54.0,608,306.118076
43.0,618,307.819542
52.0,726,309.821299
53.0,948,312.3859
71.0,910,315.114093
42.0,680,316.932211
55.0,760,318.966663
92.0,1266,322.379153
43.0,694,324.2778
