#{"t_start": 1771931170.2184632, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.133807
15.0,414,2.400669
21.0,434,2.708585
14.0,534,3.047647
7.0,322,3.266551
15.0,530,3.602412
18.0,416,3.869676
11.0,402,4.133147
10.0,440,4.419079
11.0,378,4.663667
8.0,386,4.912515
6.0,352,5.141472
24.0,506,5.466434
15.0,386,5.712382
22.0,432,5.989664
12.0,382,6.233774
15.0,424,6.507808
12.0,388,6.756687
15.0,392,7.007962
10.0,332,7.221619
20.0,404,7.481708
22.0,536,7.823597
14.0,694,8.258109
34.0,580,17.024228
16.0,420,24.374476
29.0,736,37.441516
13.0,478,45.785918
11.0,434,53.563091
25.0,428,61.113146
9.0,390,67.986039
19.0,398,75.209885
20.0,480,83.657038
15.0,382,90.291999
17.0,446,98.305141
17.0,414,105.550569
19.0,386,112.282237
7.0,344,118.465406
16.0,494,127.144495
15.0,386,134.016122
11.0,412,141.478741
14.0,410,148.685971
13.0,384,155.461293
21.0,446,163.515814
14.0,352,169.765149
15.0,474,178.186507
22.0,596,188.919044
14.0,404,196.097834
18.0,514,205.300472
17.0,388,212.265107
19.0,660,223.998663
18.0,494,232.918568
16.0,418,240.368498
16.0,518,249.635877
15.0,416,257.194088
16.0,528,266.670516
24.0,624,278.24803
16.0,442,286.182433
11.0,400,293.475219
18.0,386,300.560935
17.0,480,309.459813
15.0,352,315.88267
15.0,358,322.354506
9.0,368,328.940829
15.0,386,335.872508
24.0,750,349.482418
10.0,344,355.63521
13.0,482,364.559444
18.0,408,372.059463
14.0,364,378.741223
12.0,460,387.302761
18.0,404,394.671902
14.0,380,401.609216
14.0,464,410.12766
21.0,392,417.305979
15.0,380,424.479538
9.0,354,431.205593
5.0,286,436.372066
17.0,408,443.796321
19.0,492,452.936742
12.0,352,459.351968
18.0,422,467.13266
15.0,458,475.783798
15.0,412,483.222164
16.0,416,490.878751
15.0,384,498.049441
17.0,400,505.385036
10.0,322,511.289168
23.0,406,518.98217
18.0,500,528.212081
16.0,464,536.765176
14.0,372,543.697345
15.0,338,549.903142
13.0,412,557.484913
16.0,392,564.801292
9.0,360,571.433056
29.0,508,580.894585
12.0,320,586.929574
13.0,360,593.665836
11.0,360,600.271044
31.0,608,611.718836
7.0,304,617.464533
16.0,374,624.493506
25.0,530,634.521899
19.0,416,642.245662
14.0,406,650.021736
18.0,414,657.849442
23.0,472,666.56617
11.0,380,673.856403
13.0,456,682.285958
19.0,536,692.353724
12.0,478,701.450934
17.0,432,709.498298
18.0,430,717.69996
21.0,384,724.867698
16.0,436,732.931942
47.0,532,743.105987
20.0,442,751.479827
15.0,430,759.708011
15.0,396,767.162877
15.0,492,776.494569
15.0,402,784.326508
12.0,390,791.732856
10.0,384,798.967983
25.0,606,810.619628
11.0,344,817.039634
13.0,422,825.039372
14.0,348,831.691329
18.0,426,839.732432
17.0,560,850.393132
21.0,554,860.873758
15.0,396,868.434716
10.0,330,874.696738
11.0,432,882.942843
12.0,492,892.360999
53.0,838,908.255218
23.0,420,916.39679
23.0,514,926.182059
20.0,476,935.272085
16.0,404,942.960896
14.0,440,951.188246
15.0,418,959.357344
25.0,472,968.448355
21.0,586,979.722673
26.0,550,990.29657
16.0,494,999.819803
18.0,468,1009.023194
30.0,618,1021.002925
16.0,456,1030.044653
15.0,544,1040.52516
13.0,406,1048.429647
28.0,498,1057.891154
12.0,420,1066.058795
18.0,450,1074.861433
14.0,420,1082.881353
14.0,412,1091.036
19.0,482,1100.350382
16.0,488,1109.770795
14.0,424,1118.012464
15.0,398,1125.762913
28.0,478,1135.070296
16.0,382,1142.708282
17.0,504,1152.731753
16.0,452,1161.768636
15.0,454,1170.528413
21.0,482,1179.971643
18.0,498,1189.600921
7.0,400,1197.369333
18.0,440,1206.06092
12.0,390,1213.724141
14.0,432,1222.143366
15.0,440,1230.989592
21.0,428,1239.293188
19.0,574,1250.672937
38.0,816,1266.787041
14.0,410,1274.798649
18.0,642,1287.278273
22.0,646,1299.984533
22.0,524,1310.290962
16.0,408,1318.348481
15.0,646,1330.980229
25.0,642,1343.602799
16.0,472,1352.946353
22.0,464,1362.169527
35.0,584,1373.564241
21.0,568,1384.995987
19.0,492,1394.584204
332.0,511,1404.854834
16.0,494,1414.494799
20.0,566,1425.759995
16.0,448,1434.539947
16.0,432,1443.135036
22.0,524,1453.701556
15.0,374,1461.04751
35.0,576,1472.593979
13.0,396,1480.537455
19.0,524,1491.076489
20.0,488,1500.805171
13.0,504,1511.097661
14.0,356,1518.355328
21.0,454,1527.271959
16.0,406,1535.526058
16.0,420,1543.797134
13.0,420,1552.168014
30.0,566,1563.473817
12.0,366,1570.701209
13.0,424,1579.256829
13.0,440,1588.092293
15.0,354,1595.082466
14.0,364,1602.433179
20.0,424,1610.974371
14.0,412,1619.212866
15.0,508,1629.461766
15.0,472,1638.86654
18.0,418,1647.52826
31.0,592,1659.360077
9.0,356,1666.65433
13.0,396,1674.758177
22.0,464,1684.120788
13.0,540,1695.205502
16.0,428,1703.719469
23.0,452,1713.047433
15.0,436,1721.724834
18.0,486,1731.722112
14.0,588,1743.492206
16.0,442,1752.517428
31.0,619,1765.042281
12.0,376,1772.632739
18.0,592,1784.739333
21.0,430,1793.471313
29.0,656,1806.853153
10.0,412,1815.138906
15.0,410,1823.601344
13.0,432,1832.392625
10.0,398,1840.489583
11.0,360,1847.755255
15.0,488,1857.628417
11.0,388,1865.631584
19.0,436,1874.439271
14.0,450,1883.654474
10.0,364,1891.15408
12.0,400,1899.267507
12.0,364,1906.776281
13.0,430,1915.542216
15.0,444,1924.632054
21.0,518,1935.31018
17.0,474,1944.869714
17.0,450,1954.358255
17.0,422,1962.984387
27.0,534,1974.133436
11.0,388,1982.110363
18.0,418,1990.6687
21.0,486,2000.67057
24.0,470,2010.407437
13.0,402,2018.78247
13.0,384,2026.694685
15.0,362,2034.214242
16.0,656,2047.85855
18.0,504,2058.198839
16.0,464,2067.842105
11.0,430,2076.596551
15.0,444,2085.908968
20.0,460,2095.354482
13.0,480,2105.307222
19.0,408,2113.721825
22.0,474,2123.520124
19.0,548,2135.032194
20.0,414,2143.486852
20.0,484,2153.718127
14.0,506,2164.28419
15.0,480,2174.396583
14.0,454,2183.815421
23.0,656,2197.542649
14.0,512,2208.013477
28.0,502,2218.553828
31.0,512,2229.163919
13.0,524,2240.143012
13.0,396,2248.357408
17.0,556,2259.977905
21.0,474,2269.840089
16.0,456,2279.399546
37.0,567,2291.33296
15.0,480,2301.36912
19.0,478,2311.378233
30.0,618,2324.377418
15.0,458,2333.986968
24.0,520,2345.009242
20.0,474,2355.104448
86.0,730,2370.409175
18.0,454,2379.937749
22.0,530,2391.293146
20.0,490,2401.676916
17.0,418,2410.41005
15.0,422,2419.305008
21.0,444,2428.673475
18.0,426,2437.884857
26.0,520,2448.893031
21.0,476,2459.054387
86.0,620,2472.239248
16.0,446,2481.755737
19.0,494,2492.213991
52.0,864,2510.543439
22.0,532,2521.883086
24.0,484,2532.110159
20.0,482,2542.274514
22.0,464,2552.222456
24.0,528,2563.322778
11.0,348,2570.787997
41.0,578,2582.945138
21.0,502,2593.722409
40.0,762,2610.043267
14.0,478,2620.388062
18.0,508,2631.325926
13.0,464,2641.733537
22.0,464,2652.609738
16.0,390,2661.485995
19.0,438,2670.991018
21.0,490,2681.607913
13.0,408,2690.373047
19.0,562,2702.607921
29.0,616,2715.793329
37.0,699,2730.932026
26.0,476,2741.185758
13.0,412,2750.04204
11.0,416,2758.933538
18.0,426,2768.225384
20.0,492,2778.83131
23.0,530,2790.30303
43.0,638,2804.05747
25.0,610,2817.324215
16.0,400,2825.862108
23.0,492,2836.531714
15.0,470,2846.704374
17.0,400,2855.463392
47.0,724,2871.179585
90.0,870,2890.052301
13.0,398,2898.875209
21.0,474,2909.194005
20.0,508,2920.358411
17.0,412,2929.334238
19.0,462,2939.505437
18.0,444,2949.110992
17.0,386,2957.504089
20.0,450,2967.371954
9.0,306,2973.983007
15.0,410,2983.142897
24.0,502,2994.094036
18.0,384,3002.523763
20.0,430,3011.976462
16.0,402,3020.625531
16.0,480,3031.342901
15.0,482,3041.893342
8.0,366,3050.137161
17.0,424,3059.462744
17.0,400,3068.257847
23.0,460,3078.451742
14.0,438,3088.095
15.0,406,3097.104739
9.0,354,3104.848815
19.0,518,3116.410736
17.0,570,3128.920776
19.0,538,3140.943103
22.0,484,3151.543758
15.0,382,3160.12356
18.0,492,3170.979059
14.0,384,3179.465385
24.0,482,3190.06361
19.0,442,3199.882913
17.0,478,3210.45333
18.0,400,3219.2667
20.0,468,3229.770516
15.0,506,3240.905482
17.0,514,3252.378533
18.0,540,3264.304815
13.0,496,3275.489341
17.0,512,3286.880568
14.0,442,3296.776356
14.0,460,3306.893605
38.0,552,3319.262386
9.0,372,3327.341058
12.0,372,3335.857828
21.0,492,3346.640836
18.0,486,3357.480019
26.0,454,3367.675044
10.0,406,3376.771101
23.0,454,3386.98905
13.0,460,3397.277161
13.0,446,3407.255032
26.0,624,3421.207748
19.0,570,3433.833186
28.0,676,3449.08715
11.0,364,3457.046848
15.0,436,3466.965868
25.0,540,3479.144654
18.0,508,3490.632114
44.0,802,3508.636479
22.0,544,3520.825417
19.0,522,3532.653435
18.0,450,3542.752007
29.0,600,3556.295186
13.0,450,3566.377131
13.0,448,3576.621338
11.0,472,3587.282098
28.0,588,3600.659916
15.0,460,3610.893679
11.0,468,3621.600107
19.0,456,3631.826477
15.0,490,3643.135439
33.0,604,3656.775024
16.0,592,3670.301175
15.0,444,3680.387635
15.0,554,3693.012831
13.0,438,3702.929763
16.0,460,3713.496696
25.0,726,3730.009086
17.0,444,3740.086344
30.0,608,3753.985555
18.0,416,3763.404621
17.0,506,3774.993661
13.0,498,3786.242257
19.0,462,3796.859261
13.0,440,3806.802233
24.0,518,3818.695293
16.0,456,3829.224256
18.0,448,3839.57596
12.0,430,3849.347817
19.0,488,3860.536971
26.0,446,3870.646185
22.0,546,3883.24058
12.0,406,3892.598065
29.0,510,3904.313649
22.0,496,3915.704191
18.0,444,3926.033994
17.0,502,3937.431678
13.0,464,3948.171124
16.0,472,3958.913396
17.0,478,3970.008884
16.0,470,3980.686769
16.0,408,3990.137281
22.0,520,4001.944906
10.0,398,4011.201666
17.0,456,4021.562651
18.0,434,4031.534107
13.0,448,4041.759048
16.0,530,4054.001122
13.0,488,4065.222035
9.0,414,4074.837159
13.0,404,4084.174024
16.0,458,4094.608785
17.0,562,4107.556818
20.0,450,4117.880796
15.0,428,4127.765416
29.0,522,4139.707284
15.0,476,4150.74335
20.0,482,4161.849297
26.0,466,4172.529084
20.0,516,4184.407959
24.0,514,4196.135312
23.0,504,4207.800651
14.0,488,4218.930451
16.0,466,4229.767201
14.0,498,4241.131768
18.0,400,4250.41267
17.0,510,4262.059268
24.0,496,4273.52316
19.0,456,4283.960421
18.0,474,4294.991302
18.0,494,4306.235601
22.0,464,4316.960951
16.0,462,4327.518181
15.0,490,4338.734322
19.0,450,4349.008117
26.0,482,4360.233038
19.0,486,4371.615967
11.0,462,4382.770011
18.0,470,4394.912213
11.0,426,4405.041121
14.0,428,4414.835954
11.0,412,4424.274084
19.0,504,4435.828156
18.0,458,4446.404759
15.0,490,4457.567519
14.0,428,4467.407803
15.0,426,4477.193097
16.0,446,4487.40751
20.0,472,4498.359688
17.0,412,4507.728671
15.0,512,4519.519623
19.0,440,4529.559536
18.0,452,4540.03754
13.0,460,4550.493906
11.0,422,4560.287876
16.0,550,4572.766775
33.0,520,4584.804809
16.0,454,4595.12391
24.0,538,4607.494395
13.0,464,4618.21026
13.0,446,4628.461836
16.0,464,4639.045139
17.0,468,4649.85603
20.0,460,4660.365111
18.0,434,4670.478225
14.0,404,4679.752209
22.0,514,4691.699544
13.0,412,4701.061084
21.0,452,4711.467453
18.0,506,4722.961558
19.0,462,4733.673617
15.0,478,4744.585732
25.0,512,4756.471119
20.0,522,4768.411189
23.0,524,4780.545839
14.0,426,4790.240242
15.0,500,4801.871074
15.0,478,4812.764907
14.0,448,4823.202156
13.0,454,4833.576743
24.0,456,4844.186473
14.0,488,4855.311019
17.0,500,4866.938133
21.0,466,4877.624099
19.0,480,4888.854943
16.0,422,4898.437146
19.0,426,4908.349895
17.0,466,4918.987187
17.0,512,4930.865706
14.0,472,4941.696261
23.0,578,4955.025161
17.0,464,4965.524894
20.0,476,4976.556946
19.0,556,4989.22194
16.0,452,4999.67722
20.0,434,5009.595238
19.0,426,5019.491668
19.0,422,5029.077336
24.0,506,5040.836678
25.0,680,5056.504338
14.0,466,5067.244097
17.0,440,5077.433939
14.0,522,5089.415217
20.0,514,5101.215705
14.0,438,5111.218868
12.0,434,5121.132473
15.0,434,5131.138071
20.0,444,5141.250093
21.0,462,5152.0063
15.0,454,5162.318606
16.0,478,5173.409204
20.0,532,5185.527245
20.0,464,5196.334771
16.0,522,5208.24448
21.0,388,5217.166725
18.0,546,5229.691003
17.0,460,5240.352778
30.0,624,5254.698981
33.0,686,5270.442322
17.0,490,5281.866663
14.0,454,5292.136492
12.0,416,5301.87755
12.0,478,5312.790991
13.0,438,5322.986289
17.0,480,5334.046747
15.0,502,5345.751744
17.0,470,5356.532315
18.0,420,5366.284098
40.0,808,5384.839774
17.0,512,5396.625777
13.0,422,5406.274989
14.0,516,5418.108595
20.0,498,5429.546335
19.0,472,5440.400237
16.0,500,5452.015705
19.0,564,5464.837574
21.0,446,5475.154232
16.0,430,5484.893487
15.0,440,5495.004094
14.0,462,5505.514719
16.0,548,5518.172471
16.0,428,5527.945797
20.0,702,5544.110724
16.0,438,5554.087623
15.0,412,5563.574486
17.0,578,5576.675096
53.0,886,5597.036472
19.0,432,5607.051381
18.0,442,5617.196261
15.0,440,5627.408183
12.0,452,5637.718525
15.0,464,5648.447275
10.0,634,5662.789741
13.0,430,5672.782858
18.0,466,5683.429765
47.0,624,5697.871134
16.0,442,5707.857033
13.0,424,5717.594095
13.0,464,5728.214782
14.0,426,5738.112113
17.0,496,5749.395553
8.0,366,5757.97184
24.0,488,5769.044188
14.0,494,5780.56221
14.0,460,5791.045956
22.0,426,5800.89315
16.0,462,5811.437019
14.0,514,5823.208178
16.0,618,5837.329431
13.0,538,5849.737108
22.0,656,5864.742876
16.0,420,5874.346102
24.0,466,5884.994336
15.0,526,5896.999076
17.0,456,5907.531849
14.0,464,5918.284434
17.0,494,5929.698173
24.0,562,5942.63111
13.0,486,5953.848483
12.0,454,5964.237312
20.0,622,5978.591592
18.0,518,5990.440802
28.0,498,6001.977073
14.0,492,6013.126581
11.0,444,6023.463522
19.0,480,6034.370783
21.0,596,6048.095505
16.0,496,6059.37561
14.0,430,6069.296822
15.0,460,6079.769177
15.0,484,6090.956793
17.0,522,6102.901505
22.0,498,6114.411517
14.0,464,6125.013434
14.0,466,6135.807727
21.0,484,6146.910547
25.0,532,6159.172033
17.0,474,6170.04916
23.0,474,6180.912472
28.0,540,6193.425173
27.0,762,6210.802329
14.0,420,6220.589779
22.0,456,6231.004399
