#{"t_start": 1771230908.532644, "env_id": "ALE/Pacman-v5"}
r,l,t
13.0,448,2.146434
12.0,356,2.36179
13.0,446,2.657682
9.0,344,2.864737
4.0,294,3.044071
19.0,476,3.327689
19.0,404,3.568833
10.0,428,3.826635
24.0,520,4.136417
18.0,418,4.387328
18.0,406,4.631066
6.0,366,4.847973
28.0,638,5.225972
13.0,550,5.550325
6.0,312,5.739799
26.0,494,6.03221
9.0,328,6.230727
16.0,452,6.499694
14.0,420,6.750298
18.0,434,7.009263
13.0,388,7.241825
19.0,540,7.561588
16.0,482,7.846609
15.0,380,8.878162
16.0,364,9.804062
15.0,412,10.842771
12.0,392,11.812453
15.0,392,12.841012
10.0,354,13.743086
12.0,380,14.665053
20.0,416,15.67875
24.0,462,16.951503
12.0,400,17.916095
13.0,462,19.015637
16.0,380,19.929569
10.0,402,20.902922
18.0,416,21.961958
17.0,442,23.089834
14.0,414,24.107004
13.0,376,25.118518
18.0,432,26.354243
14.0,382,27.471217
9.0,328,28.425092
23.0,440,29.659989
17.0,464,30.988089
13.0,350,31.94513
10.0,344,32.875655
18.0,562,34.350632
10.0,382,35.351482
22.0,422,36.474158
15.0,390,37.519697
13.0,396,38.536667
21.0,490,39.831287
11.0,398,40.861516
22.0,446,42.045071
30.0,628,43.713207
14.0,412,44.819182
12.0,402,45.938564
11.0,344,46.869676
11.0,372,47.93451
16.0,474,49.448772
28.0,632,51.360638
29.0,548,53.088309
20.0,598,54.855887
12.0,454,56.185183
18.0,454,57.493461
19.0,398,58.664209
12.0,352,59.678442
23.0,472,61.033597
17.0,376,62.120745
21.0,502,63.508162
18.0,464,64.877412
12.0,524,66.33318
40.0,549,67.888065
29.0,500,69.285828
17.0,336,70.2565
30.0,470,71.684268
15.0,400,72.945854
17.0,528,74.640496
13.0,468,76.253037
13.0,426,77.590617
21.0,462,78.944517
14.0,396,80.112225
14.0,394,81.320421
61.0,646,83.329898
14.0,438,84.583439
14.0,408,85.800586
32.0,554,87.434929
18.0,436,88.701655
172.0,670,90.714545
19.0,386,91.856562
15.0,380,92.985201
45.0,714,95.174261
15.0,426,96.624738
16.0,416,98.094627
12.0,342,99.261399
45.0,592,101.308269
12.0,402,102.568829
14.0,390,103.83117
22.0,456,105.330151
15.0,428,106.704175
20.0,462,108.107598
24.0,520,109.755544
14.0,408,111.076116
27.0,714,113.363657
15.0,516,114.989471
38.0,752,117.304424
18.0,394,118.643142
31.0,504,120.610364
23.0,564,122.744684
15.0,536,124.681762
23.0,440,126.185734
14.0,410,127.582844
20.0,380,128.833288
27.0,596,130.869301
16.0,410,132.255533
29.0,462,133.798813
16.0,480,135.415682
24.0,460,136.939721
13.0,394,138.231515
14.0,392,139.51859
23.0,418,140.936615
25.0,536,142.935795
19.0,482,144.775056
18.0,412,146.366359
16.0,388,147.792609
24.0,462,149.376141
18.0,494,151.127659
23.0,458,152.729313
15.0,526,154.519681
62.0,880,157.348364
26.0,418,158.751682
44.0,668,160.917646
142.0,946,164.014069
17.0,408,165.443215
16.0,466,167.022727
14.0,396,168.533168
36.0,597,170.716108
22.0,428,172.187681
43.0,752,174.752798
21.0,436,176.240793
16.0,440,177.710691
24.0,488,179.36707
36.0,550,181.184531
24.0,460,182.694609
35.0,462,184.245623
23.0,500,185.940851
20.0,444,187.592586
24.0,452,189.373324
35.0,502,191.350076
19.0,456,193.116158
55.0,684,195.554176
20.0,382,196.9513
41.0,522,198.800824
31.0,720,201.288722
31.0,510,203.147227
96.0,537,205.045848
27.0,450,206.629062
21.0,420,208.048527
21.0,410,209.451721
32.0,574,211.796157
21.0,452,213.541186
32.0,780,216.610882
26.0,492,218.41515
25.0,480,220.180063
33.0,614,222.383772
24.0,432,223.946343
44.0,608,226.13614
29.0,662,228.512906
31.0,640,230.705863
29.0,524,232.535417
25.0,420,234.207016
34.0,558,236.524689
36.0,704,239.357935
27.0,496,241.185221
37.0,686,243.738317
52.0,682,246.199025
46.0,608,248.41403
28.0,684,250.795221
27.0,476,252.478965
21.0,444,254.081671
29.0,428,255.621173
37.0,702,258.420861
45.0,586,260.85514
35.0,458,262.776629
36.0,500,264.665587
41.0,720,267.419691
29.0,492,269.320318
24.0,492,271.117769
45.0,816,274.159548
37.0,482,275.879966
69.0,790,278.705259
41.0,592,281.149433
50.0,583,283.578171
40.0,736,286.644705
64.0,764,289.562817
46.0,482,291.429202
41.0,496,293.247284
39.0,450,294.985684
31.0,474,296.703119
38.0,546,298.713376
75.0,818,301.734592
44.0,468,303.555213
37.0,476,305.627537
50.0,770,308.888946
28.0,452,310.682697
38.0,526,312.750602
51.0,570,314.929178
60.0,930,318.49205
