#{"t_start": 1771809142.3168397, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.174923
15.0,414,2.437479
21.0,434,2.748274
14.0,534,3.089281
7.0,322,3.311447
15.0,530,3.657973
18.0,416,3.929467
11.0,402,4.188876
10.0,440,4.469587
11.0,378,4.715879
8.0,386,4.9611
6.0,352,5.205433
24.0,506,5.56311
15.0,386,5.80793
22.0,432,6.11613
12.0,382,6.374973
15.0,424,6.649395
12.0,388,6.902579
15.0,392,7.157618
10.0,332,7.382917
20.0,404,7.686368
22.0,536,8.141969
14.0,694,8.696547
20.0,406,10.244858
13.0,390,11.582902
13.0,476,13.217236
42.0,704,15.641607
31.0,584,17.67045
19.0,380,18.964893
19.0,482,20.63603
20.0,460,22.198602
25.0,554,24.158706
171.0,530,26.084636
27.0,498,27.912681
27.0,512,29.782534
72.0,737,32.473567
20.0,394,33.955642
19.0,352,35.27152
50.0,754,38.085745
24.0,470,39.850429
21.0,508,41.771369
24.0,470,43.584451
19.0,518,45.999771
35.0,688,49.372719
17.0,372,51.057621
33.0,664,53.785285
19.0,472,55.702392
94.0,688,58.626944
36.0,872,62.095371
24.0,542,64.288873
39.0,684,67.131278
23.0,466,69.129068
38.0,612,71.605478
28.0,690,74.537197
107.0,720,77.603307
26.0,528,79.886471
39.0,652,82.616041
20.0,444,84.472343
30.0,540,86.858274
34.0,726,89.999967
42.0,878,93.780134
50.0,566,96.142082
14.0,470,98.091095
26.0,498,100.326808
184.0,836,103.708039
36.0,624,106.160101
54.0,638,108.907182
112.0,890,112.577188
30.0,466,114.478347
47.0,564,116.660644
69.0,681,119.395673
127.0,796,122.620928
88.0,1086,127.310456
30.0,644,130.112889
187.0,664,132.909682
57.0,660,135.80439
44.0,602,138.620911
40.0,521,140.985404
50.0,892,145.394756
83.0,833,149.002064
28.0,460,151.05568
64.0,796,154.479675
57.0,532,156.533539
62.0,745,159.646583
30.0,490,161.827584
31.0,524,164.117383
34.0,580,166.631886
30.0,524,168.931079
32.0,440,171.029594
49.0,766,174.368224
115.0,790,177.802014
43.0,750,181.059391
45.0,530,183.208521
36.0,600,185.776273
43.0,840,188.918112
113.0,940,192.637976
36.0,664,195.296178
110.0,918,198.882848
26.0,538,200.861061
116.0,731,203.841776
18.0,380,205.364606
98.0,715,208.278351
43.0,690,211.026211
45.0,680,214.053134
118.0,1026,218.868715
27.0,446,221.098066
65.0,776,224.766587
81.0,888,229.042085
47.0,608,231.739183
37.0,484,234.255627
234.0,910,239.255661
361.0,878,244.302637
345.0,754,248.156384
27.0,454,250.533244
71.0,916,255.297885
42.0,698,258.730999
55.0,1012,262.954199
77.0,992,267.118872
33.0,644,269.659266
40.0,676,272.197199
39.0,490,274.051316
115.0,902,277.478019
55.0,900,280.948322
116.0,695,283.545237
66.0,988,287.37562
67.0,872,290.741113
60.0,656,293.211184
51.0,594,295.453071
38.0,658,298.04096
46.0,766,301.110142
67.0,760,303.967848
45.0,628,306.43903
95.0,853,309.677575
117.0,786,312.622504
57.0,732,315.374259
60.0,646,317.796875
60.0,770,320.67734
46.0,760,323.666341
43.0,642,326.080777
64.0,800,329.274703
74.0,1010,333.057194
24.0,438,334.694678
77.0,666,337.197281
64.0,747,339.978321
55.0,612,342.248426
63.0,696,344.865513
76.0,980,348.774431
64.0,732,351.891386
34.0,558,354.629956
47.0,712,357.880426
