#{"t_start": 1771872354.4773803, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.074058
15.0,414,2.340762
21.0,434,2.651513
14.0,534,2.991546
7.0,322,3.205005
15.0,530,3.540946
18.0,416,3.812658
11.0,402,4.0691
10.0,440,4.357926
11.0,378,4.604699
8.0,386,4.853589
6.0,352,5.082219
24.0,506,5.406157
15.0,386,5.65445
22.0,432,5.931732
12.0,382,6.177377
15.0,424,6.452995
12.0,388,6.704065
15.0,392,6.957923
10.0,332,7.172223
20.0,404,7.435913
22.0,536,7.781172
14.0,694,8.217033
13.0,358,13.286518
11.0,348,19.818807
17.0,484,29.011446
13.0,454,37.515507
15.0,420,45.315107
16.0,390,52.85056
22.0,424,60.929998
20.0,418,68.825949
20.0,372,76.110247
10.0,352,82.712742
23.0,462,91.455405
15.0,410,99.416852
23.0,448,107.980258
17.0,432,116.435716
16.0,450,125.177911
18.0,408,133.043154
10.0,350,139.976755
17.0,518,150.116423
15.0,430,158.489064
13.0,342,165.326048
20.0,446,174.106852
13.0,368,181.37401
12.0,358,188.685838
23.0,416,196.895678
15.0,384,204.495323
16.0,420,213.010341
16.0,386,220.564633
28.0,530,231.273292
32.0,526,241.810421
30.0,522,252.387295
28.0,606,264.698623
17.0,418,273.164603
13.0,368,280.710585
14.0,344,287.600564
29.0,488,297.546486
16.0,400,305.704229
16.0,354,312.949829
23.0,434,321.992376
14.0,386,329.957308
15.0,420,338.705801
18.0,420,347.355134
24.0,446,356.310749
32.0,534,367.668308
31.0,494,377.704442
26.0,520,388.318115
20.0,420,396.994737
15.0,328,403.749302
29.0,566,415.658775
25.0,494,425.828022
17.0,518,436.674025
12.0,446,445.99814
30.0,520,456.949382
14.0,472,466.765647
22.0,476,476.975896
18.0,368,484.715808
19.0,380,492.881298
18.0,456,502.569805
24.0,440,512.022806
24.0,528,523.274706
22.0,422,532.200017
51.0,696,547.350615
25.0,500,558.125153
26.0,414,567.056299
23.0,492,577.731266
28.0,736,593.753786
22.0,540,605.555118
27.0,1312,634.177316
60.0,828,652.474819
16.0,442,662.017637
17.0,388,670.73766
21.0,530,682.330363
16.0,408,691.46065
21.0,568,703.905245
33.0,602,717.322442
17.0,500,728.215448
37.0,770,745.410853
25.0,680,760.730129
22.0,564,773.417697
24.0,452,783.652937
12.0,394,792.707862
15.0,394,802.981632
16.0,406,813.086019
13.0,368,822.794648
12.0,408,833.474355
20.0,444,845.348459
18.0,550,859.638554
19.0,510,872.738238
15.0,462,883.282079
24.0,602,897.153669
11.0,426,906.999696
22.0,450,917.395581
15.0,424,927.026594
36.0,640,941.746662
28.0,506,953.549929
18.0,478,964.460017
19.0,482,975.577461
26.0,500,986.921808
29.0,634,1001.659337
18.0,470,1012.43133
20.0,464,1023.244656
17.0,610,1037.286132
16.0,438,1047.387894
27.0,492,1058.722304
16.0,408,1068.103396
19.0,456,1078.515357
89.0,557,1091.325168
35.0,612,1105.47182
26.0,534,1117.60802
21.0,494,1129.066923
22.0,464,1139.680864
28.0,572,1152.916939
37.0,784,1171.274147
30.0,574,1184.427686
38.0,728,1201.32292
19.0,400,1210.519848
30.0,634,1225.416778
31.0,508,1237.164959
37.0,2292,1290.04663
16.0,466,1300.840938
35.0,860,1320.54115
15.0,396,1329.679775
25.0,560,1342.468155
23.0,490,1353.767503
27.0,404,1363.011024
20.0,430,1372.989947
20.0,422,1382.620802
16.0,378,1391.463157
44.0,682,1407.042435
26.0,588,1420.631776
25.0,498,1432.100864
26.0,518,1443.927628
25.0,510,1455.774621
29.0,516,1467.575373
17.0,468,1478.488598
15.0,428,1488.268853
97.0,716,1504.738097
21.0,422,1514.370201
45.0,746,1531.650884
43.0,920,1552.893148
28.0,594,1566.575485
38.0,596,1580.069951
28.0,536,1592.415789
16.0,366,1600.731697
