#{"t_start": 1771827689.033556, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.103202
15.0,414,2.392288
21.0,434,2.725771
14.0,534,3.096727
7.0,322,3.322513
15.0,530,3.680719
18.0,416,3.963969
11.0,402,4.241366
10.0,440,4.539912
11.0,378,4.800131
8.0,386,5.064508
6.0,352,5.309812
24.0,506,5.650887
15.0,386,5.919374
22.0,432,6.22021
12.0,382,6.484756
15.0,424,6.779412
12.0,388,7.049251
15.0,392,7.353633
10.0,332,7.591219
20.0,404,7.875679
22.0,536,8.259982
14.0,694,8.738645
10.0,376,14.534592
15.0,444,23.469522
25.0,506,33.408921
21.0,374,40.898157
15.0,608,52.137281
14.0,722,65.589707
11.0,384,72.912005
17.0,648,85.0369
61.0,880,101.696808
22.0,558,112.280683
33.0,650,124.701179
14.0,402,132.343436
11.0,386,139.813173
20.0,394,147.3691
36.0,722,161.369546
26.0,594,172.845168
14.0,418,180.971828
14.0,410,189.086046
20.0,508,199.049359
19.0,462,208.100673
15.0,382,215.574447
18.0,396,223.384715
25.0,500,233.266045
20.0,448,242.101117
16.0,364,249.288998
15.0,352,256.334991
12.0,372,263.818778
24.0,422,272.141189
35.0,698,286.222009
24.0,522,296.579169
18.0,374,304.113543
20.0,384,311.936245
17.0,386,319.741463
12.0,358,327.002516
16.0,392,335.007276
16.0,456,344.331314
19.0,332,351.028471
17.0,420,359.693952
38.0,582,371.664203
15.0,412,380.05763
47.0,690,394.31565
25.0,548,405.71245
13.0,392,413.839854
23.0,400,422.084779
24.0,434,431.175661
18.0,458,440.732808
28.0,476,450.650813
14.0,400,459.015188
30.0,482,469.148931
11.0,382,477.304992
30.0,538,488.663404
25.0,466,498.579857
27.0,482,508.8195
24.0,506,519.508627
25.0,460,529.239084
17.0,420,538.283453
31.0,498,548.913621
40.0,702,563.977699
37.0,620,577.321333
21.0,450,586.875925
32.0,636,600.481427
19.0,426,609.593412
27.0,476,619.962047
27.0,464,629.95086
39.0,602,643.086633
18.0,454,652.921121
28.0,428,662.238394
25.0,450,672.188372
44.0,654,686.47487
29.0,618,699.95143
52.0,770,716.769884
27.0,544,728.776633
30.0,596,741.912019
48.0,513,753.297406
23.0,420,762.581861
48.0,519,774.083929
22.0,466,784.472775
18.0,416,793.759207
28.0,512,805.211076
22.0,452,815.320977
25.0,622,829.204468
19.0,374,837.615792
20.0,368,845.912488
20.0,404,854.995058
23.0,460,865.34654
29.0,470,875.892992
17.0,500,887.091362
18.0,526,898.959401
28.0,488,909.885498
14.0,444,919.887055
28.0,628,934.029899
24.0,534,946.051617
30.0,528,957.909003
34.0,478,980.154685
29.0,500,991.447318
20.0,454,1001.691549
17.0,468,1012.247501
23.0,516,1023.806114
103.0,802,1041.889346
24.0,496,1053.087509
26.0,532,1064.980635
20.0,390,1073.755744
22.0,444,1083.66088
19.0,440,1093.462089
34.0,572,1106.301808
26.0,520,1118.001189
22.0,466,1128.441636
28.0,514,1139.935882
66.0,672,1155.00707
31.0,444,1164.935577
25.0,456,1175.217293
26.0,458,1185.444155
22.0,448,1195.489156
11.0,424,1205.017321
34.0,720,1221.161795
21.0,454,1231.395126
27.0,524,1243.147689
19.0,502,1254.400139
28.0,470,1264.954143
21.0,422,1274.417086
13.0,376,1282.821935
29.0,512,1294.418321
92.0,548,1306.715075
21.0,502,1318.015951
39.0,552,1330.483521
15.0,452,1340.709966
29.0,512,1352.243815
26.0,742,1368.912663
32.0,496,1380.126398
41.0,622,1394.154353
32.0,468,1404.759701
23.0,448,1414.880975
42.0,664,1429.761816
20.0,420,1439.186064
30.0,588,1452.389618
38.0,748,1469.273387
29.0,508,1480.691435
26.0,504,1492.018042
17.0,422,1501.484073
22.0,522,1513.221698
69.0,802,1531.330186
44.0,800,1549.337986
43.0,714,1565.318023
50.0,674,1580.529489
33.0,546,1592.885071
24.0,412,1602.200235
21.0,414,1611.509614
39.0,808,1629.723227
50.0,866,1649.224461
36.0,658,1663.931132
19.0,498,1675.207395
34.0,508,1686.68845
28.0,728,1703.141711
24.0,442,1713.10089
26.0,612,1726.809965
17.0,444,1736.759959
40.0,612,1750.451858
31.0,514,1761.983996
31.0,510,1773.49847
38.0,596,1786.852675
25.0,532,1798.760533
32.0,436,1808.627968
28.0,466,1819.207765
41.0,546,1831.571576
57.0,862,1850.921029
24.0,568,1863.76987
49.0,527,1875.585848
29.0,508,1886.992963
26.0,484,1897.840128
28.0,582,1910.964406
30.0,426,1920.539438
18.0,362,1928.658134
20.0,450,1938.742458
37.0,752,1955.71905
17.0,420,1965.135297
33.0,516,1976.754862
33.0,562,1989.397183
54.0,726,2005.739662
52.0,726,2022.098217
20.0,528,2033.908516
33.0,464,2044.374098
16.0,384,2053.061062
40.0,608,2066.857006
19.0,430,2076.528027
28.0,510,2087.969405
10.0,372,2096.309391
19.0,464,2106.765096
23.0,480,2117.572964
18.0,448,2127.675446
27.0,516,2139.359847
69.0,796,2157.266097
37.0,590,2170.573474
24.0,454,2180.757894
26.0,438,2190.742985
34.0,552,2203.314054
16.0,494,2214.484452
23.0,422,2224.03723
27.0,522,2235.871125
41.0,576,2248.882196
32.0,756,2266.058004
39.0,696,2281.780671
17.0,542,2294.106249
40.0,792,2312.108435
27.0,548,2324.508534
22.0,492,2335.633486
21.0,524,2347.556881
32.0,532,2359.604934
24.0,496,2370.861094
25.0,658,2385.701694
23.0,420,2395.11661
24.0,546,2407.356558
14.0,530,2419.313636
20.0,462,2429.713412
27.0,556,2442.236154
50.0,652,2456.918483
23.0,426,2466.539652
23.0,534,2478.494595
20.0,432,2488.282365
25.0,538,2500.415039
14.0,600,2513.913793
32.0,838,2532.866863
47.0,726,2549.259845
22.0,466,2559.692094
18.0,474,2570.37997
29.0,574,2583.358793
17.0,622,2597.452258
35.0,798,2615.55863
29.0,522,2627.260393
41.0,594,2640.595577
36.0,680,2656.051685
34.0,676,2671.280351
42.0,680,2686.62794
35.0,566,2699.310112
35.0,541,2711.526828
27.0,516,2723.115593
33.0,534,2735.086596
43.0,714,2751.160221
21.0,462,2761.558067
25.0,618,2775.446812
30.0,552,2787.911999
49.0,758,2805.009041
29.0,462,2815.417084
38.0,658,2830.221116
36.0,510,2841.686153
18.0,406,2850.892006
26.0,506,2862.297898
20.0,404,2871.393762
37.0,612,2885.166332
41.0,818,2903.596561
21.0,442,2913.566949
14.0,446,2923.654841
21.0,486,2934.593285
33.0,594,2947.978723
39.0,658,2962.787326
42.0,600,2976.348999
23.0,440,2986.277225
20.0,412,2995.590115
43.0,568,3008.427028
45.0,1008,3031.150517
31.0,704,3047.016608
27.0,406,3056.151496
23.0,504,3067.497483
41.0,618,3081.511168
31.0,466,3092.153517
38.0,768,3109.453239
29.0,466,3119.917782
18.0,510,3131.444894
34.0,578,3144.451717
21.0,460,3154.816726
39.0,542,3167.037167
