#{"t_start": 1771807310.934821, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.085965
15.0,414,2.344652
21.0,434,2.643611
14.0,534,2.980732
7.0,322,3.177948
15.0,530,3.518373
18.0,416,3.779174
11.0,402,4.027796
10.0,440,4.302422
11.0,378,4.543544
8.0,386,4.783277
6.0,352,5.005721
24.0,506,5.319613
15.0,386,5.558321
22.0,432,5.824817
12.0,382,6.063227
15.0,424,6.338559
12.0,388,6.579122
15.0,392,6.825707
10.0,332,7.036902
20.0,404,7.289193
22.0,536,7.617683
14.0,694,8.041982
20.0,398,9.243926
13.0,418,10.560328
17.0,408,11.887996
30.0,492,13.602739
40.0,816,16.472796
23.0,472,18.049942
19.0,404,19.415008
21.0,426,20.886991
23.0,470,22.511843
21.0,548,24.402264
12.0,348,25.610281
26.0,444,27.197583
27.0,512,29.019568
19.0,462,30.694367
12.0,396,32.132507
29.0,442,33.744461
17.0,422,35.28091
31.0,532,37.25181
14.0,502,39.11471
11.0,436,40.761999
34.0,518,42.738553
25.0,526,44.739964
14.0,484,46.577119
22.0,524,48.797956
13.0,504,50.721324
28.0,552,52.817891
23.0,454,54.522284
31.0,476,56.336407
26.0,620,58.670745
16.0,420,60.294098
16.0,516,62.258162
20.0,456,64.061638
26.0,474,65.881773
14.0,378,67.30962
13.0,438,68.967051
21.0,446,70.651554
49.0,662,73.220686
24.0,544,75.458396
21.0,422,77.122455
19.0,440,78.956163
16.0,398,80.455609
24.0,472,82.252352
10.0,430,83.911139
32.0,694,86.515901
11.0,428,88.166363
28.0,708,90.815837
23.0,488,92.646311
36.0,618,95.304158
24.0,452,97.221978
19.0,430,98.866697
13.0,436,100.515868
15.0,392,101.99761
32.0,616,104.354053
31.0,590,106.609293
36.0,637,109.056917
21.0,492,111.133828
26.0,562,113.426205
20.0,468,115.331498
52.0,656,117.802138
43.0,726,120.558635
24.0,470,122.332556
27.0,426,123.952782
26.0,534,125.947035
40.0,519,127.911168
31.0,490,129.776352
51.0,1102,134.01361
36.0,569,136.167916
39.0,536,138.225923
25.0,466,139.996813
34.0,584,142.351172
31.0,504,144.347833
37.0,543,146.391575
33.0,674,148.972279
26.0,412,150.546797
39.0,636,153.139931
17.0,378,154.560308
35.0,512,156.481996
42.0,596,158.744429
24.0,592,161.025997
45.0,600,163.384293
67.0,746,166.265282
46.0,710,169.042279
26.0,446,170.832223
31.0,410,172.653349
46.0,732,175.927332
57.0,600,178.260329
51.0,572,180.477674
26.0,586,182.736421
46.0,544,184.962071
34.0,598,187.21992
22.0,422,188.804069
65.0,968,192.433763
111.0,805,195.558483
36.0,498,197.556813
33.0,522,199.521924
24.0,570,201.65865
29.0,486,203.621176
55.0,868,206.927272
36.0,480,208.882954
20.0,666,211.522825
63.0,844,214.870383
49.0,602,217.130991
37.0,475,218.915158
51.0,987,222.694371
46.0,558,224.774849
345.0,632,227.170738
45.0,682,229.740974
58.0,616,232.076305
26.0,416,233.649604
58.0,750,236.641208
65.0,930,240.133676
44.0,736,242.916419
49.0,712,245.609244
39.0,540,247.627202
39.0,514,249.616359
27.0,526,251.588449
34.0,730,254.286559
34.0,526,256.263225
34.0,724,258.968044
348.0,594,261.195669
25.0,386,262.654115
58.0,770,265.863929
31.0,424,267.45749
45.0,636,270.183228
32.0,492,272.117003
41.0,614,274.422222
43.0,732,277.142544
29.0,484,278.950662
35.0,436,280.60807
30.0,444,282.26902
59.0,714,284.943538
53.0,634,287.327168
40.0,532,289.349624
29.0,412,290.979171
58.0,880,294.310407
96.0,724,297.049016
57.0,662,299.511137
34.0,488,301.347763
15.0,406,302.880691
26.0,518,304.858687
45.0,670,307.358873
31.0,470,309.219503
29.0,540,311.248346
39.0,598,313.509138
33.0,474,315.28902
37.0,622,317.674598
34.0,676,320.190969
45.0,654,322.62504
41.0,524,324.595409
46.0,536,326.613281
37.0,474,328.514204
61.0,916,331.94221
55.0,548,333.998185
60.0,782,336.947465
57.0,726,339.674886
64.0,760,342.595572
48.0,866,346.063925
34.0,450,347.788401
39.0,534,349.816083
50.0,548,351.926793
32.0,586,354.144243
52.0,860,357.363268
48.0,510,359.391577
39.0,482,361.205577
41.0,500,363.077261
67.0,764,366.086101
49.0,716,368.83216
24.0,414,370.460045
47.0,770,373.392495
29.0,470,375.251616
42.0,564,377.398711
47.0,714,380.128789
45.0,842,383.35006
34.0,436,385.011119
31.0,610,387.321257
43.0,494,389.165521
62.0,866,392.481122
45.0,822,395.570948
41.0,818,398.663967
38.0,434,400.291902
87.0,904,403.96016
36.0,456,406.009105
46.0,704,408.73206
35.0,422,410.316969
30.0,456,412.089415
77.0,775,414.986944
62.0,770,417.928961
49.0,790,421.494982
51.0,570,423.703567
96.0,708,426.354263
35.0,506,428.249363
41.0,572,430.406435
36.0,536,432.412113
17.0,372,433.809152
38.0,510,435.724179
47.0,730,438.461107
45.0,638,440.86299
37.0,666,443.356563
72.0,1356,448.883102
50.0,646,451.324086
77.0,988,455.24594
50.0,868,458.495048
65.0,582,460.668659
38.0,678,463.2419
49.0,710,466.02861
