#{"t_start": 1771814199.7829823, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.413626
15.0,414,2.664937
21.0,434,2.954149
14.0,534,3.268877
7.0,322,3.468572
15.0,530,3.780799
18.0,416,4.03498
11.0,402,4.278658
10.0,440,4.550412
11.0,378,4.787592
8.0,386,5.019312
6.0,352,5.233004
24.0,506,5.541783
15.0,386,5.776575
22.0,432,6.044386
12.0,382,6.280133
15.0,424,6.537689
12.0,388,6.771152
15.0,392,7.00931
10.0,332,7.218508
20.0,404,7.466723
22.0,536,7.798051
14.0,694,8.222423
20.0,406,9.523881
13.0,390,10.802915
13.0,476,12.398855
42.0,704,14.809623
31.0,584,16.761113
19.0,380,18.03272
19.0,482,19.668211
20.0,460,21.294211
25.0,554,23.449432
171.0,530,25.325295
27.0,498,27.120842
27.0,512,29.017356
72.0,737,31.842609
20.0,394,33.309431
19.0,352,34.606915
50.0,754,37.450501
24.0,470,39.445247
21.0,508,41.410049
24.0,470,43.248176
19.0,518,45.263021
35.0,688,47.940492
17.0,372,49.383168
33.0,664,51.953906
19.0,472,53.790915
94.0,688,56.470713
36.0,872,60.158779
24.0,542,62.323712
39.0,684,64.900469
23.0,466,66.7058
38.0,612,69.106102
28.0,690,71.824473
107.0,720,74.573582
26.0,528,76.57081
39.0,652,79.385641
20.0,444,81.389968
30.0,540,83.604327
34.0,726,86.647736
42.0,878,90.396316
50.0,566,92.634942
14.0,470,94.416758
26.0,498,96.317601
184.0,836,99.530694
36.0,624,102.047682
54.0,638,104.463062
112.0,890,107.882072
30.0,466,109.658176
47.0,564,111.810468
69.0,681,114.44847
127.0,796,117.521245
88.0,1086,121.738922
30.0,644,124.186905
187.0,664,126.824016
57.0,660,129.478303
44.0,602,131.939313
40.0,521,134.258203
50.0,892,137.963347
83.0,833,141.371623
28.0,460,143.258801
64.0,796,146.484989
57.0,532,148.647473
62.0,745,151.675286
30.0,490,153.755567
31.0,524,155.887804
34.0,580,158.214918
30.0,524,160.272167
32.0,440,162.038011
49.0,766,165.205065
46.0,756,168.289377
32.0,478,170.254971
61.0,928,174.036872
34.0,592,176.500964
128.0,5148,198.170437
34.0,540,200.362723
51.0,926,204.103042
46.0,782,207.281121
51.0,888,210.888567
31.0,592,213.297058
67.0,724,216.331735
81.0,1140,220.918515
39.0,516,223.031657
69.0,700,225.884898
105.0,662,228.795193
54.0,896,232.43143
58.0,604,234.904079
32.0,618,237.447558
47.0,664,240.422378
29.0,404,242.074277
32.0,566,244.359094
61.0,642,247.18782
35.0,528,249.348707
45.0,594,251.75927
84.0,952,255.685453
59.0,713,258.630681
55.0,746,261.913074
50.0,696,264.739152
57.0,854,268.392349
50.0,676,271.214447
36.0,586,273.628469
60.0,710,276.517326
43.0,512,278.720502
90.0,908,282.503077
87.0,954,286.539675
53.0,668,289.735712
42.0,550,292.562917
67.0,1092,297.623924
32.0,514,299.999973
53.0,620,302.549146
60.0,870,306.135553
47.0,704,309.008699
62.0,964,313.096308
60.0,680,315.971292
38.0,614,318.550719
133.0,912,322.818131
69.0,766,326.07636
59.0,770,329.275566
74.0,914,333.176953
101.0,1212,338.2312
78.0,1042,343.346185
123.0,826,347.981679
76.0,799,351.695818
44.0,504,354.028796
47.0,626,356.686247
94.0,834,360.436903
37.0,506,362.729398
45.0,600,365.455822
70.0,812,369.086193
75.0,1190,375.388852
62.0,640,378.108817
77.0,862,381.760208
81.0,682,385.122009
85.0,918,390.0445
73.0,1154,395.368968
70.0,708,398.573565
60.0,736,402.088145
56.0,760,406.195017
55.0,762,409.954314
33.0,386,411.689523
134.0,856,415.453292
41.0,544,417.923629
51.0,558,420.200734
112.0,702,423.279859
197.0,714,426.071371
44.0,544,428.261336
35.0,450,430.377041
59.0,527,432.729634
47.0,494,435.040583
42.0,524,437.695437
60.0,732,440.898817
51.0,614,443.667459
63.0,658,446.536052
41.0,490,448.933197
44.0,510,451.115121
45.0,554,453.330903
54.0,608,455.778702
78.0,728,458.66456
58.0,626,461.051889
46.0,628,463.470592
37.0,436,465.20056
34.0,414,466.850888
56.0,618,469.294968
80.0,864,472.747901
66.0,708,475.551713
43.0,556,477.847909
37.0,432,479.814432
47.0,578,482.1502
44.0,546,484.449801
52.0,570,486.792256
75.0,804,490.143872
63.0,726,493.040238
49.0,502,495.180852
70.0,608,497.80269
53.0,698,500.562925
44.0,516,502.680864
50.0,576,504.994472
52.0,646,507.60443
39.0,486,509.531618
58.0,614,512.135605
60.0,550,514.328972
50.0,484,516.250497
42.0,538,518.503447
32.0,390,520.103852
68.0,782,523.35264
54.0,530,525.472312
52.0,532,527.588476
48.0,452,529.39957
19.0,368,530.850426
61.0,568,533.0906
49.0,516,535.144709
47.0,498,537.127097
40.0,428,538.84417
40.0,434,540.645031
74.0,778,543.836287
43.0,564,546.080059
59.0,678,548.800266
53.0,644,551.425235
52.0,658,554.263494
55.0,578,556.700241
51.0,560,558.924297
63.0,568,561.261014
40.0,472,563.267113
35.0,582,565.639373
114.0,882,570.657796
36.0,530,573.153761
41.0,488,575.434724
46.0,458,577.313368
53.0,628,579.866154
40.0,538,582.075776
38.0,542,584.243023
34.0,546,586.444877
39.0,452,588.294742
46.0,550,590.516861
62.0,658,593.167347
44.0,526,595.393218
49.0,598,597.913875
47.0,584,600.526592
58.0,576,603.240578
39.0,510,605.499005
39.0,526,607.725697
32.0,494,609.77183
68.0,868,613.32645
43.0,664,616.074129
121.0,954,619.941338
57.0,788,623.107835
38.0,438,624.90531
27.0,442,626.934547
37.0,524,629.195233
51.0,902,632.809573
38.0,432,634.526243
26.0,418,636.20445
51.0,648,638.992332
25.0,382,640.512441
53.0,632,643.033351
34.0,432,644.76214
46.0,552,646.95866
43.0,556,649.186206
49.0,478,651.147168
59.0,588,653.493009
61.0,674,656.257476
49.0,624,658.778163
62.0,622,661.258555
58.0,600,663.685213
49.0,566,665.93901
44.0,552,668.126868
59.0,642,670.829978
52.0,492,672.792436
57.0,556,675.043149
41.0,442,676.814573
197.0,656,679.420409
42.0,530,681.559778
29.0,422,683.249939
34.0,420,684.935752
75.0,698,687.705048
32.0,442,689.457095
57.0,640,691.977775
81.0,690,694.71993
62.0,520,696.776603
45.0,478,698.708085
53.0,512,700.868608
35.0,510,703.086778
41.0,488,705.068023
39.0,602,707.541352
41.0,540,709.69788
65.0,608,712.202223
62.0,604,714.878134
55.0,528,717.29882
46.0,508,719.528613
50.0,502,721.589736
44.0,564,724.207561
38.0,510,726.52847
54.0,540,728.758406
42.0,552,730.945426
52.0,586,733.459737
46.0,466,735.366661
43.0,604,737.936579
42.0,470,739.969356
60.0,670,742.660675
33.0,448,744.466769
32.0,428,746.166959
63.0,576,748.46826
67.0,612,751.0267
79.0,948,755.116084
59.0,764,758.307304
54.0,540,761.033812
64.0,752,765.126313
55.0,632,768.677183
62.0,638,771.714438
58.0,596,774.465882
51.0,586,777.126475
52.0,508,779.545887
50.0,510,781.635129
67.0,610,784.320963
51.0,516,786.692858
53.0,582,789.339888
60.0,686,792.381671
44.0,514,794.664963
52.0,624,797.654415
34.0,646,800.340082
32.0,548,802.640909
41.0,482,804.541349
