#{"t_start": 1772134061.5807064, "env_id": "ALE/Pacman-v5"}
r,l,t
15.0,454,4488.953289
9.0,408,4507.567233
23.0,534,4531.753561
24.0,626,4560.186906
22.0,486,4582.253298
18.0,534,4606.820747
30.0,636,4636.138664
35.0,596,4663.486697
27.0,546,4688.282239
22.0,508,4711.735224
21.0,502,4735.00576
14.0,430,4755.072224
20.0,446,4775.878322
16.0,424,4795.503531
18.0,472,4817.525725
17.0,524,4841.99992
16.0,460,4863.298923
11.0,428,4883.193652
23.0,514,4906.841557
18.0,508,4930.075443
31.0,638,4959.03025
19.0,426,4978.590465
25.0,530,5002.935768
22.0,548,5028.020187
24.0,514,5051.731741
20.0,510,5075.391745
13.0,408,5094.206406
15.0,458,5115.201922
26.0,494,5138.038008
19.0,804,5175.419223
22.0,488,5198.085401
20.0,688,5229.922288
16.0,432,5250.038576
18.0,476,5271.787513
12.0,394,5289.971951
28.0,476,5312.040008
18.0,426,5331.771785
16.0,546,5356.501388
15.0,436,5376.43753
11.0,436,5396.306829
18.0,376,5413.579789
18.0,444,5433.948279
28.0,528,5457.96492
14.0,398,5476.25003
22.0,524,5500.544862
21.0,486,5523.090802
6.0,408,5541.410911
18.0,434,5561.522693
19.0,478,5583.742633
61.0,712,5616.731467
19.0,498,5639.769354
15.0,450,5660.360552
15.0,474,5682.036847
42.0,820,5720.079586
25.0,464,5741.363876
21.0,506,5764.507497
20.0,534,5789.138037
13.0,458,5810.0733
13.0,342,5825.586845
26.0,586,5852.457828
14.0,440,5872.537681
20.0,496,5895.399065
20.0,426,5914.967508
18.0,462,5935.67914
21.0,424,5954.873817
41.0,708,5987.501422
35.0,756,6022.366805
19.0,510,6045.607297
18.0,440,6066.262729
23.0,524,6090.465452
13.0,654,6120.612316
23.0,478,6142.362741
23.0,482,6164.619884
22.0,426,6184.263322
18.0,436,6204.117998
24.0,450,6224.72909
23.0,456,6245.30586
25.0,552,6270.596864
15.0,548,6295.739772
29.0,590,6322.538263
26.0,506,6345.563877
53.0,608,6373.016931
30.0,550,6398.402933
46.0,818,6436.34599
24.0,504,6459.43136
20.0,544,6484.726044
24.0,454,6505.82133
24.0,684,6537.130121
17.0,486,6559.405818
15.0,474,6580.988927
25.0,650,6610.898368
17.0,638,6639.742078
14.0,524,6663.357778
24.0,568,6689.16785
24.0,494,6711.340403
21.0,674,6741.668958
23.0,422,6760.358952
15.0,562,6785.31139
29.0,630,6813.80593
18.0,588,6840.411715
51.0,690,6871.800316
17.0,618,6900.036981
34.0,592,6927.015671
17.0,484,6949.005777
33.0,594,6975.617738
30.0,692,7007.150377
36.0,632,7036.290108
19.0,522,7060.186934
21.0,528,7084.242681
22.0,536,7108.24502
16.0,670,7138.834014
22.0,594,7165.409227
28.0,474,7186.644035
34.0,606,7213.636703
26.0,616,7241.467809
26.0,582,7267.495363
21.0,612,7295.474082
8.0,536,7320.027186
18.0,406,7338.507778
22.0,536,7363.21137
16.0,502,7386.322474
16.0,432,7405.875394
18.0,640,7435.305511
12.0,410,7453.890091
25.0,502,7476.867942
24.0,408,7495.602428
18.0,514,7518.682688
36.0,682,7549.322192
20.0,546,7574.180756
25.0,580,7599.958031
26.0,518,7622.744087
26.0,600,7649.959349
23.0,470,7671.396404
16.0,404,7689.634975
25.0,512,7712.732584
37.0,534,7737.916093
40.0,588,7767.702851
27.0,554,7794.882705
20.0,414,7814.941667
27.0,656,7847.599126
20.0,482,7871.386011
21.0,530,7899.020701
23.0,502,7923.011583
32.0,718,7960.942398
7.0,444,7982.948777
23.0,584,8010.264503
19.0,500,8034.329561
27.0,552,8060.711925
20.0,508,8085.621707
34.0,494,8110.070922
12.0,412,8133.157943
18.0,396,8152.234046
19.0,430,8172.82812
30.0,562,8199.744298
24.0,520,8224.402457
10.0,364,8241.793428
22.0,484,8264.805316
16.0,472,8287.132191
30.0,608,8316.091418
27.0,526,8340.671394
11.0,406,8359.738412
22.0,468,8381.368485
23.0,470,8403.422017
25.0,484,8426.119832
19.0,454,8447.758794
11.0,388,8466.268779
21.0,466,8488.279606
45.0,654,8519.126382
18.0,406,8538.993003
29.0,476,8562.465017
25.0,488,8588.351598
26.0,588,8615.941138
18.0,458,8637.188688
19.0,482,8659.684145
22.0,590,8687.336765
17.0,422,8707.142649
22.0,552,8732.797926
31.0,620,8761.503536
21.0,544,8786.809041
12.0,450,8807.94006
22.0,522,8832.292885
9.0,388,8850.51713
14.0,434,8870.821137
25.0,574,8897.751786
29.0,690,8929.944828
22.0,478,8952.18649
8.0,394,8970.530547
8.0,400,8989.221214
45.0,936,9032.751311
12.0,404,9051.575913
24.0,498,9074.723844
14.0,518,9098.537227
24.0,496,9121.674828
22.0,514,9145.626141
23.0,668,9176.484031
22.0,450,9197.72653
26.0,616,9226.827412
25.0,534,9251.903282
23.0,550,9277.545688
16.0,456,9298.653765
29.0,634,9328.32785
18.0,536,9353.296614
21.0,564,9379.781622
29.0,626,9409.15331
17.0,510,9432.867877
24.0,524,9457.020938
19.0,500,9480.269411
9.0,404,9499.173322
28.0,632,9528.455467
22.0,514,9552.489115
21.0,612,9581.156613
28.0,596,9608.977903
19.0,440,9629.579337
12.0,408,9648.479835
19.0,510,9672.286041
19.0,404,9690.908193
36.0,840,9729.972473
28.0,530,9754.140677
15.0,496,9776.545693
40.0,568,9802.4194
40.0,758,9836.002028
14.0,418,9854.114166
35.0,744,9886.564073
16.0,424,9905.093724
26.0,524,9927.750154
17.0,508,9950.172179
21.0,464,9970.686749
30.0,618,9998.474025
34.0,494,10020.82864
23.0,464,10041.594594
31.0,564,10066.843609
28.0,622,10094.983892
16.0,436,10115.10905
23.0,562,10140.358918
35.0,555,10165.270308
28.0,572,10191.233457
27.0,456,10212.077496
25.0,554,10236.771646
28.0,484,10258.113759
24.0,596,10283.983185
24.0,614,10311.531766
35.0,592,10337.574764
20.0,524,10360.45286
27.0,624,10387.907664
27.0,490,10409.281278
17.0,468,10429.687254
25.0,522,10453.18673
31.0,608,10480.813725
24.0,570,10506.952424
19.0,426,10526.13979
19.0,502,10548.719012
15.0,506,10571.624377
15.0,474,10593.108522
16.0,490,10615.187107
17.0,526,10639.551123
21.0,466,10660.707611
19.0,440,10680.570929
24.0,514,10702.952093
18.0,428,10721.73427
28.0,516,10744.342877
13.0,394,10761.905623
25.0,500,10784.124979
20.0,502,10806.346851
15.0,480,10827.292202
58.0,760,10860.452577
24.0,584,10886.197461
24.0,714,10918.577386
27.0,562,10943.720743
15.0,420,10962.952722
25.0,512,10986.302365
32.0,634,11015.400948
20.0,492,11037.32739
17.0,398,11054.997983
16.0,464,11075.998944
21.0,468,11097.142264
23.0,596,11124.03056
19.0,392,11141.358915
7.0,304,11154.675552
7.0,380,11170.983636
8.0,372,11187.372196
11.0,476,11208.597947
15.0,436,11227.749056
21.0,472,11248.280374
7.0,420,11266.669163
17.0,506,11288.640077
11.0,454,11308.615456
15.0,424,11327.233606
15.0,488,11348.233406
16.0,444,11367.890111
13.0,388,11385.655605
23.0,510,11408.982682
30.0,578,11434.932536
15.0,432,11454.155755
11.0,454,11474.687023
18.0,480,11495.905959
27.0,720,11528.476884
31.0,632,11557.265085
11.0,422,11576.313226
13.0,448,11596.249533
43.0,632,11623.639668
36.0,624,11650.651449
24.0,508,11672.8745
23.0,436,11692.015461
27.0,562,11716.693756
24.0,446,11736.171298
22.0,596,11762.483861
30.0,518,11785.499445
28.0,712,11816.962234
31.0,544,11841.377601
20.0,502,11864.539686
19.0,522,11887.884972
20.0,544,11912.488035
17.0,432,11931.874532
20.0,470,11953.081228
29.0,586,11979.23413
27.0,720,12012.042089
13.0,512,12034.715338
34.0,550,12058.999664
21.0,632,12086.629034
15.0,462,12106.889663
12.0,454,12127.055579
35.0,758,12160.312031
19.0,514,12182.812212
14.0,434,12202.21807
23.0,512,12224.896312
18.0,506,12247.500175
19.0,470,12268.733788
23.0,474,12290.378757
26.0,492,12312.296015
21.0,576,12338.405633
30.0,522,12362.121977
19.0,474,12383.733686
22.0,598,12410.625422
25.0,526,12434.561868
12.0,464,12455.312706
17.0,494,12477.95627
22.0,564,12503.577417
21.0,502,12525.209253
10.0,508,12547.69035
10.0,488,12568.983994
11.0,462,12589.749511
16.0,602,12616.140448
21.0,482,12637.3441
22.0,522,12660.390878
30.0,572,12685.503399
11.0,530,12708.890867
11.0,428,12728.142554
15.0,530,12752.358789
15.0,508,12775.921137
17.0,556,12801.234526
15.0,458,12821.796682
34.0,550,12846.702024
16.0,476,12868.018281
25.0,538,12892.019423
11.0,540,12916.393488
21.0,586,12942.686557
26.0,672,12972.80358
25.0,600,12999.168467
9.0,472,13019.812457
20.0,506,13041.890242
21.0,516,13064.390397
13.0,524,13087.408446
27.0,550,13111.233618
24.0,680,13141.267153
15.0,470,13161.921907
18.0,560,13186.791515
30.0,596,13214.02023
10.0,516,13237.51467
21.0,528,13261.547233
26.0,558,13286.168154
29.0,558,13311.992311
23.0,560,13339.236359
10.0,412,13359.101423
10.0,442,13380.707008
18.0,568,13408.699843
23.0,542,13435.412034
30.0,614,13465.516927
17.0,530,13491.444026
24.0,494,13516.134202
22.0,548,13543.207631
20.0,424,13564.142328
13.0,448,13586.152254
31.0,536,13612.53119
29.0,496,13637.150857
14.0,434,13658.553035
18.0,428,13679.343309
10.0,412,13699.751371
20.0,484,13723.566221
14.0,420,13744.16271
16.0,390,13763.661724
32.0,738,13799.943377
25.0,508,13825.217983
22.0,602,13854.906484
25.0,494,13879.16382
33.0,646,13910.9751
22.0,520,13936.427989
22.0,452,13958.720192
14.0,430,13980.11123
23.0,484,14003.988193
15.0,422,14024.751958
21.0,538,14051.180013
18.0,436,14072.677168
33.0,530,14098.83791
26.0,508,14123.805465
21.0,508,14148.84376
23.0,520,14174.296158
30.0,502,14198.621063
32.0,634,14229.506731
15.0,474,14252.560181
20.0,574,14280.667537
23.0,530,14306.735729
19.0,442,14328.284868
22.0,488,14352.355189
38.0,718,14387.611293
23.0,402,14407.522619
15.0,506,14432.716113
26.0,676,14466.168045
32.0,506,14491.13992
32.0,558,14518.810425
15.0,588,14548.026387
24.0,596,14577.506366
24.0,476,14601.063556
17.0,446,14623.013651
27.0,528,14649.068065
19.0,420,14669.779601
18.0,466,14692.614462
28.0,556,14720.066184
22.0,590,14749.02995
21.0,494,14773.604338
18.0,474,14797.176741
36.0,640,14828.877741
28.0,594,14858.33472
27.0,654,14890.277459
31.0,502,14914.881659
25.0,510,14940.044714
31.0,606,14969.645882
12.0,370,14987.797402
24.0,540,15014.320742
29.0,582,15042.509275
24.0,530,15068.523631
25.0,530,15094.360717
22.0,472,15117.871295
11.0,444,15139.565828
20.0,560,15167.033576
17.0,508,15191.921695
20.0,414,15212.234798
21.0,442,15233.835975
28.0,606,15263.239602
26.0,546,15289.542181
38.0,564,15314.703274
30.0,566,15339.21817
20.0,592,15364.453399
31.0,520,15386.484734
27.0,618,15412.781694
20.0,622,15439.843002
28.0,534,15462.749404
16.0,460,15482.609237
19.0,506,15503.698237
21.0,490,15524.890807
16.0,428,15543.249151
34.0,592,15568.717719
30.0,494,15589.593471
27.0,536,15612.788366
25.0,490,15633.987332
22.0,586,15659.265191
23.0,448,15678.265384
16.0,404,15696.062387
25.0,478,15716.983266
21.0,590,15742.573022
32.0,592,15768.322659
30.0,592,15796.476852
22.0,420,15815.015232
29.0,460,15836.215251
16.0,446,15855.562098
32.0,630,15883.300914
19.0,428,15901.812008
39.0,596,15928.414561
27.0,602,15954.769545
40.0,730,15987.186841
61.0,1196,16040.233428
27.0,474,16061.357414
17.0,464,16081.202703
44.0,724,16112.077718
21.0,424,16130.171166
34.0,508,16152.015016
31.0,600,16177.42758
32.0,492,16198.499994
31.0,602,16224.515083
19.0,440,16243.374728
27.0,614,16270.062607
24.0,416,16287.656144
17.0,464,16308.031169
30.0,546,16331.264567
23.0,440,16350.530508
17.0,410,16368.155639
45.0,638,16395.718794
17.0,448,16415.545878
21.0,382,16431.796162
28.0,550,16456.577832
26.0,552,16482.202175
18.0,446,16501.999631
31.0,566,16526.46395
33.0,520,16549.139992
17.0,462,16569.321427
19.0,422,16587.030451
31.0,646,16614.970134
15.0,454,16634.328529
26.0,436,16653.068887
29.0,488,16673.749372
27.0,498,16695.139894
12.0,348,16709.749718
21.0,614,16737.273526
18.0,428,16755.854569
33.0,518,16777.890412
50.0,868,16815.62486
27.0,550,16839.175337
18.0,382,16855.780713
24.0,492,16876.718041
36.0,544,16900.108248
33.0,594,16926.103333
38.0,682,16955.171628
22.0,458,16974.890009
32.0,558,16999.031203
26.0,542,17022.984007
32.0,546,17046.729264
27.0,470,17066.700526
25.0,548,17090.373843
26.0,726,17121.781181
27.0,522,17144.90267
37.0,574,17169.342634
28.0,618,17195.671844
28.0,614,17221.814921
23.0,526,17244.250134
34.0,728,17275.51499
37.0,607,17301.985448
32.0,692,17331.609015
41.0,760,17364.061673
33.0,584,17388.93728
33.0,572,17413.764986
47.0,730,17445.045925
39.0,718,17476.608758
31.0,496,17497.86889
36.0,550,17521.515444
34.0,546,17545.172208
25.0,532,17568.0404
42.0,700,17598.390127
35.0,590,17623.796562
38.0,670,17652.346355
23.0,486,17673.264489
31.0,596,17698.530993
38.0,890,17736.671313
35.0,624,17763.485585
28.0,566,17787.561636
32.0,652,17816.095978
28.0,472,17836.231116
24.0,714,17867.172067
36.0,530,17890.187238
27.0,500,17911.514238
22.0,406,17929.405909
20.0,496,17950.68687
184.0,612,17976.708567
18.0,372,17993.079796
30.0,556,18017.476127
32.0,518,18039.903066
35.0,624,18066.963766
28.0,528,18089.687231
33.0,576,18114.780859
35.0,568,18139.155115
31.0,548,18162.530987
41.0,644,18190.04924
31.0,682,18219.529994
24.0,494,18240.781007
32.0,564,18264.843242
32.0,568,18288.993252
28.0,488,18309.991187
31.0,496,18331.594554
35.0,712,18362.71836
32.0,538,18385.846942
33.0,612,18412.218285
28.0,476,18433.030525
39.0,548,18456.778669
38.0,702,18487.155906
32.0,610,18513.425143
35.0,514,18535.589247
36.0,694,18565.169371
19.0,372,18581.062247
27.0,492,18602.133011
33.0,550,18625.686881
28.0,500,18647.374076
44.0,610,18673.640418
20.0,432,18691.550001
22.0,516,18713.796751
28.0,498,18734.924107
22.0,444,18754.202968
29.0,534,18777.090721
35.0,662,18805.546623
23.0,480,18825.750453
23.0,402,18843.06132
34.0,714,18874.233219
35.0,772,18907.656115
26.0,642,18934.977463
34.0,704,18965.187014
30.0,720,18996.358811
23.0,502,19017.84375
33.0,628,19044.765155
21.0,458,19064.906462
32.0,652,19093.28123
29.0,592,19119.332184
36.0,646,19146.733638
33.0,644,19174.287453
24.0,422,19192.468396
