#{"t_start": 1771849791.5159616, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.165122
15.0,414,2.450754
21.0,434,2.771894
14.0,534,3.125171
7.0,322,3.348577
15.0,530,3.701431
18.0,416,4.007788
11.0,402,4.289966
10.0,440,4.590472
11.0,378,4.847536
8.0,386,5.105857
6.0,352,5.344972
24.0,506,5.688825
15.0,386,5.947114
22.0,432,6.236704
12.0,382,6.498096
15.0,424,6.785169
12.0,388,7.046465
15.0,392,7.311241
10.0,332,7.539435
20.0,404,7.813945
22.0,536,8.169574
14.0,694,8.631006
19.0,448,15.364499
12.0,362,22.149644
15.0,484,31.160104
31.0,592,42.129848
16.0,548,52.352356
23.0,472,61.20658
20.0,558,71.810684
19.0,524,81.677763
22.0,518,91.446554
13.0,374,98.536759
13.0,370,105.644276
14.0,352,112.29071
18.0,404,120.094186
19.0,432,128.295002
10.0,316,134.372787
16.0,442,142.907737
22.0,404,150.755622
18.0,376,158.000247
14.0,356,164.992802
16.0,390,172.544065
17.0,398,180.324236
23.0,428,188.810016
17.0,326,195.270172
14.0,404,203.189431
19.0,390,210.914736
16.0,412,219.012805
8.0,352,225.975125
24.0,512,236.12531
12.0,342,242.932967
13.0,404,250.984554
12.0,342,257.950098
16.0,384,265.64002
15.0,372,273.080645
15.0,374,280.661303
12.0,324,287.17758
14.0,402,295.188628
28.0,452,304.343381
17.0,390,312.358013
37.0,612,324.757328
28.0,500,334.994859
10.0,324,341.611716
12.0,416,350.019515
11.0,418,358.690635
12.0,370,366.475708
22.0,376,374.224313
19.0,430,382.9078
11.0,332,389.886067
13.0,368,397.410291
16.0,388,405.537284
31.0,530,416.354319
28.0,662,430.008871
18.0,486,440.252156
16.0,468,449.999455
29.0,472,459.834599
17.0,418,468.521384
22.0,514,479.328695
22.0,428,488.397431
18.0,416,497.218997
17.0,368,505.022781
23.0,478,515.082968
16.0,370,522.90065
27.0,485,533.15977
58.0,624,546.467355
23.0,530,557.797194
22.0,446,567.304148
17.0,436,576.744531
20.0,450,586.342346
16.0,420,595.371856
15.0,348,602.928545
22.0,434,612.378544
29.0,510,623.536359
15.0,428,632.794873
25.0,482,643.414191
24.0,466,653.550128
24.0,514,664.811512
31.0,492,675.632555
14.0,400,684.442518
19.0,540,696.309065
9.0,378,704.636933
18.0,420,713.846798
29.0,646,728.176144
15.0,410,737.33689
25.0,598,750.651157
17.0,476,761.47552
15.0,484,772.511918
14.0,368,780.857093
23.0,480,791.836829
37.0,712,808.14785
37.0,558,822.242668
14.0,382,831.95944
26.0,602,848.007176
22.0,454,859.790838
19.0,490,872.534504
16.0,420,883.639588
38.0,602,897.869499
32.0,481,909.09873
14.0,370,917.573238
26.0,544,930.097258
22.0,434,940.093636
32.0,640,954.969248
25.0,468,965.780616
20.0,516,977.823749
23.0,428,987.944956
64.0,616,1002.292928
30.0,516,1014.370028
22.0,464,1025.089713
25.0,546,1038.519477
27.0,438,1049.541215
37.0,518,1061.712263
25.0,482,1073.111524
29.0,468,1084.699089
20.0,456,1096.553062
14.0,406,1107.245065
35.0,526,1121.013991
29.0,510,1133.39502
20.0,410,1143.272764
19.0,398,1152.786596
34.0,514,1166.221906
13.0,406,1176.922208
13.0,338,1185.892814
22.0,474,1198.2111
34.0,564,1212.018043
29.0,494,1224.634948
11.0,416,1234.492395
10.0,478,1245.491184
28.0,444,1255.864468
17.0,416,1265.479563
17.0,430,1275.731879
21.0,378,1284.399647
11.0,362,1292.84318
34.0,908,1313.803811
