#{"t_start": 1771908561.682863, "env_id": "ALE/Pacman-v5"}
r,l,t
20.0,550,2819.2622
22.0,468,2829.720414
17.0,470,2840.542193
25.0,486,2851.462167
21.0,508,2863.09564
27.0,486,2874.006722
23.0,418,2883.591222
27.0,516,2895.140563
22.0,600,2908.84323
17.0,432,2918.588254
24.0,616,2932.692615
18.0,460,2943.13248
21.0,404,2952.356564
38.0,552,2964.794399
21.0,454,2975.052648
18.0,472,2985.674717
25.0,494,2996.835473
22.0,528,3008.719829
21.0,528,3020.770407
26.0,602,3034.45904
27.0,508,3045.868723
24.0,540,3058.170186
69.0,792,3076.029558
23.0,570,3089.020543
17.0,396,3098.158072
30.0,496,3109.354795
18.0,442,3119.442813
42.0,606,3133.105695
32.0,549,3145.659347
19.0,454,3155.857754
34.0,822,3174.499307
39.0,750,3191.475179
25.0,542,3203.644182
41.0,742,3220.458161
32.0,528,3232.441475
14.0,450,3242.499315
41.0,722,3258.805438
98.0,623,3273.047197
19.0,474,3283.723565
18.0,472,3294.465845
31.0,624,3308.38329
21.0,430,3318.233157
19.0,494,3329.378706
34.0,652,3344.147882
15.0,442,3354.175394
17.0,412,3363.670155
14.0,476,3374.396043
40.0,650,3389.20343
21.0,438,3399.194323
19.0,424,3408.921356
10.0,366,3417.116757
14.0,356,3425.227021
26.0,690,3440.787868
22.0,494,3452.029948
19.0,426,3461.642606
12.0,488,3472.730774
22.0,518,3484.296593
43.0,772,3501.871393
33.0,764,3518.991129
15.0,452,3529.188098
44.0,634,3543.582656
53.0,543,3555.810083
32.0,764,3573.042969
16.0,440,3583.103204
55.0,758,3600.233879
22.0,492,3611.349601
18.0,518,3623.159908
85.0,698,3638.783338
24.0,466,3649.385773
23.0,484,3660.159166
16.0,512,3671.809367
28.0,788,3689.682805
13.0,486,3700.59176
20.0,576,3713.657448
27.0,576,3726.423054
17.0,436,3736.435617
24.0,464,3746.866869
28.0,2106,3794.343082
57.0,672,3809.634075
31.0,538,3821.872603
36.0,596,3835.144554
22.0,388,3843.982184
27.0,522,3855.785392
26.0,686,3871.431094
12.0,382,3880.055233
17.0,538,3892.431692
33.0,710,3908.529948
33.0,692,3924.063786
24.0,630,3938.53193
90.0,692,3954.205511
52.0,708,3970.176624
20.0,446,3980.371835
11.0,420,3989.794924
32.0,730,4006.457348
23.0,488,4017.384006
34.0,774,4034.845987
16.0,396,4043.92057
30.0,480,4054.736883
45.0,624,4069.015895
46.0,904,4089.310133
53.0,1614,4125.721288
55.0,730,4142.086478
24.0,492,4153.356528
21.0,388,4162.08616
58.0,814,4180.664404
27.0,514,4192.397861
25.0,578,4205.369324
53.0,480,4216.329316
24.0,460,4226.663913
25.0,478,4237.574828
27.0,552,4249.930411
22.0,406,4259.185664
31.0,568,4271.86575
25.0,450,4282.123662
26.0,714,4298.221089
21.0,520,4310.012535
13.0,440,4319.927087
18.0,492,4331.100381
19.0,438,4340.931445
35.0,706,4356.942925
52.0,680,4372.343196
24.0,558,4384.888225
89.0,706,4400.801302
32.0,674,4416.071429
23.0,548,4428.343179
22.0,492,4439.531701
17.0,448,4449.629387
55.0,686,4465.35733
29.0,742,4482.17366
45.0,720,4498.587119
21.0,470,4509.154554
22.0,482,4520.069038
16.0,460,4530.413925
43.0,560,4543.123371
95.0,842,4562.142161
25.0,518,4573.855273
42.0,870,4593.497835
22.0,470,4604.068524
37.0,906,4624.364464
41.0,628,4638.648182
25.0,500,4649.998209
28.0,730,4666.334651
75.0,982,4688.391408
45.0,586,4701.757537
27.0,668,4716.847627
17.0,430,4726.510408
41.0,1002,4749.234842
25.0,704,4765.158223
36.0,734,4781.83129
47.0,804,4799.862848
20.0,436,4809.841221
87.0,638,4824.220495
31.0,746,4841.015276
25.0,462,4851.587761
32.0,670,4866.60863
59.0,742,4883.322076
35.0,772,4900.778768
37.0,2894,4966.281435
21.0,370,4974.618986
37.0,794,4992.661103
35.0,512,5004.408529
65.0,828,5023.169755
40.0,850,5042.437654
34.0,722,5058.701018
27.0,496,5070.029436
54.0,764,5087.388304
92.0,680,5102.695863
38.0,684,5118.160277
48.0,700,5134.092897
33.0,730,5150.425886
32.0,746,5167.278136
32.0,654,5182.185858
32.0,896,5202.261482
35.0,774,5219.798605
28.0,668,5234.822814
37.0,776,5252.479579
29.0,794,5270.457968
29.0,776,5288.076386
56.0,616,5301.883764
55.0,792,5319.912297
25.0,706,5335.879429
50.0,784,5353.608682
39.0,812,5372.049553
44.0,788,5389.747437
38.0,568,5402.680894
26.0,686,5418.241484
35.0,822,5436.823334
58.0,774,5454.167137
24.0,530,5466.232391
32.0,786,5484.064125
30.0,732,5500.586441
31.0,870,5520.272768
175.0,830,5538.949154
31.0,740,5555.69375
37.0,676,5571.088784
27.0,538,5583.160438
19.0,816,5601.64518
25.0,724,5618.174187
25.0,758,5635.348243
33.0,766,5652.591086
29.0,700,5668.398395
43.0,784,5686.115443
43.0,786,5703.909168
54.0,940,5725.093714
24.0,718,5741.323484
25.0,792,5759.061373
19.0,912,5779.751207
25.0,764,5797.207174
32.0,806,5815.526274
51.0,906,5835.975434
24.0,740,5852.620445
19.0,754,5869.597594
18.0,462,5880.070583
25.0,844,5899.153087
25.0,696,5914.833161
26.0,872,5934.403993
29.0,780,5952.048501
24.0,672,5967.332579
31.0,796,5985.437276
41.0,722,6001.721554
24.0,734,6018.397238
21.0,526,6030.412859
55.0,668,6045.394619
47.0,832,6064.089827
25.0,652,6078.923214
32.0,692,6094.709871
36.0,720,6110.904087
31.0,718,6126.931044
18.0,460,6137.419328
37.0,772,6154.866092
31.0,870,6174.507229
25.0,768,6191.996124
26.0,746,6208.8027
54.0,778,6226.359857
85.0,794,6244.282203
31.0,638,6258.575319
25.0,672,6273.854415
22.0,563,6286.582291
28.0,624,6300.657912
21.0,466,6311.229977
43.0,748,6328.027511
28.0,766,6345.399769
24.0,656,6360.307188
44.0,619,6374.303169
25.0,756,6391.294181
53.0,672,6406.708097
100.0,694,6422.268687
24.0,664,6437.242268
39.0,720,6453.580901
39.0,832,6472.494925
26.0,698,6488.319722
36.0,676,6503.627926
35.0,782,6521.203082
25.0,716,6537.386184
25.0,614,6551.366702
31.0,676,6566.565312
52.0,758,6583.618554
73.0,918,6604.620931
25.0,776,6622.37232
48.0,642,6637.052381
24.0,668,6652.319269
54.0,780,6670.256708
44.0,678,6685.859239
13.0,426,6695.55463
47.0,720,6712.136421
24.0,498,6723.529272
19.0,768,6741.079613
40.0,712,6757.471089
43.0,717,6773.72959
45.0,960,6795.706801
20.0,740,6812.613429
25.0,758,6829.726897
39.0,702,6845.810277
49.0,766,6863.046516
33.0,610,6876.899734
21.0,744,6893.744652
28.0,660,6908.765221
57.0,815,6927.39106
48.0,732,6944.042398
17.0,522,6955.841505
30.0,678,6971.238353
42.0,748,6988.283402
26.0,714,7004.477276
20.0,668,7019.818094
21.0,742,7036.778489
66.0,22422,7547.522967
31.0,846,7566.827281
46.0,743,7583.875788
47.0,710,7600.079008
28.0,706,7616.117168
33.0,592,7629.668658
17.0,476,7640.463904
25.0,600,7654.229104
35.0,628,7668.619284
27.0,624,7682.732194
27.0,698,7698.860876
27.0,666,7714.002704
27.0,722,7730.402895
23.0,682,7745.891571
23.0,449,7756.215908
24.0,704,7772.165203
47.0,690,7787.795326
42.0,694,7803.652154
41.0,734,7820.40042
24.0,702,7836.172563
89.0,858,7855.691528
46.0,680,7871.314994
45.0,612,7885.317267
46.0,776,7903.053981
24.0,656,7917.935301
24.0,660,7932.859615
54.0,1002,7955.600418
27.0,750,7972.767814
44.0,820,7991.313337
51.0,754,8008.384753
43.0,748,8025.417402
28.0,674,8040.750144
75.0,17834,8446.332355
25.0,670,8461.639865
44.0,914,8482.474615
34.0,680,8498.016935
57.0,642,8512.435134
29.0,752,8529.579342
33.0,716,8546.006237
37.0,608,8559.868534
25.0,660,8574.914091
52.0,604,8588.674617
46.0,694,8604.400875
38.0,694,8620.165942
69.0,793,8638.250294
30.0,712,8654.448787
29.0,788,8672.38037
34.0,640,8686.83433
31.0,814,8705.272164
34.0,704,8721.292165
59.0,692,8737.150246
33.0,780,8754.845829
34.0,770,8772.49468
46.0,752,8789.749501
33.0,724,8806.333342
31.0,714,8822.460549
29.0,914,8843.252502
20.0,480,8854.369588
25.0,682,8869.961058
30.0,744,8886.887278
22.0,466,8897.608212
55.0,762,8915.001144
38.0,606,8928.814104
30.0,752,8945.818449
33.0,650,8960.504484
29.0,772,8978.051248
28.0,750,8995.009243
51.0,660,9010.0545
47.0,636,9024.495033
56.0,668,9039.554027
32.0,644,9054.137056
93.0,830,9073.032607
50.0,696,9088.945521
35.0,594,9102.319404
45.0,700,9118.282388
36.0,686,9133.942627
25.0,564,9146.646173
35.0,720,9163.029229
27.0,678,9178.484596
26.0,734,9195.112937
39.0,742,9211.846967
24.0,736,9228.651552
35.0,740,9245.557073
12.0,482,9256.48878
32.0,592,9270.12763
50.0,692,9285.919968
27.0,760,9302.997296
32.0,532,9315.108138
54.0,726,9331.631262
22.0,507,9343.125484
57.0,634,9357.62476
37.0,724,9374.12783
34.0,708,9390.098381
19.0,488,9401.279814
54.0,860,9420.746489
80.0,860,9440.194843
28.0,513,9451.849951
26.0,486,9463.031311
40.0,674,9478.370021
180.0,758,9495.604925
35.0,690,9511.325792
46.0,730,9527.947031
42.0,600,9541.366505
59.0,636,9555.950434
36.0,858,9575.419268
38.0,592,9588.865888
29.0,517,9600.58962
35.0,614,9614.578727
50.0,604,9628.095788
45.0,584,9641.505011
37.0,544,9653.801325
27.0,734,9670.282834
38.0,530,9682.318128
25.0,690,9697.888613
24.0,451,9708.120324
27.0,684,9723.57571
46.0,914,9744.350864
25.0,508,9755.738324
68.0,672,9771.05795
17.0,456,9781.308003
25.0,590,9794.691485
39.0,686,9810.311064
60.0,594,9823.708567
39.0,700,9839.667367
52.0,716,9856.013985
30.0,580,9869.065533
21.0,456,9879.511264
28.0,606,9893.181977
22.0,484,9904.278287
40.0,582,9917.485792
53.0,740,9934.203104
36.0,672,9949.579401
64.0,728,9966.170351
32.0,636,9980.546227
20.0,420,9990.15558
29.0,676,10005.570071
40.0,662,10020.292364
36.0,704,10036.174498
30.0,724,10052.623295
46.0,658,10067.400753
39.0,644,10082.057525
41.0,668,10097.261078
36.0,588,10110.582234
52.0,778,10128.282315
57.0,640,10142.832999
47.0,616,10156.7541
45.0,674,10172.050327
53.0,742,10189.054888
37.0,682,10204.573807
116.0,896,10225.001425
52.0,610,10238.798579
55.0,712,10255.113836
41.0,630,10269.383105
36.0,628,10283.493562
61.0,704,10299.625747
46.0,688,10315.228414
85.0,920,10336.175529
51.0,816,10355.069219
25.0,646,10369.642495
57.0,594,10383.273022
114.0,852,10402.705099
47.0,692,10418.453664
46.0,728,10435.077744
21.0,466,10445.734727
61.0,660,10460.629803
69.0,696,10476.679701
82.0,914,10497.500954
51.0,716,10513.849961
33.0,580,10526.967691
45.0,726,10543.553384
29.0,672,10558.878568
35.0,668,10574.091441
54.0,572,10587.069647
42.0,732,10603.721314
53.0,698,10619.764246
64.0,926,10640.905353
35.0,644,10655.511996
48.0,752,10672.881017
36.0,572,10686.023598
183.0,630,10700.368223
98.0,552,10713.160633
37.0,520,10725.087984
18.0,430,10734.957708
23.0,478,10745.930625
39.0,650,10760.889406
25.0,444,10771.200373
187.0,684,10786.798984
17.0,470,10797.634892
17.0,440,10807.697723
42.0,544,10820.27597
34.0,592,10833.949835
27.0,516,10845.853657
29.0,654,10860.87946
27.0,484,10871.83093
27.0,626,10886.289433
69.0,976,10908.655983
49.0,828,10927.779235
110.0,26996,11544.679573
15.0,456,11555.234383
38.0,641,11570.076144
45.0,618,11584.247017
35.0,574,11597.380595
53.0,638,11612.123464
66.0,992,11634.731865
121.0,1024,11658.066376
43.0,666,11673.336923
35.0,614,11687.358006
106.0,1054,11711.42488
43.0,704,11727.41977
42.0,598,11741.170414
43.0,710,11757.15496
205.0,751,11774.204783
45.0,708,11790.306695
46.0,704,11806.485091
41.0,632,11820.956945
29.0,468,11831.662898
28.0,586,11845.104684
45.0,758,11862.454939
99.0,682,11877.902721
50.0,762,11895.402399
40.0,698,11911.442454
43.0,688,11927.131471
47.0,740,11943.90338
74.0,1088,11968.719193
38.0,610,11982.865333
54.0,624,11997.161471
51.0,642,12011.636358
77.0,866,12031.47929
32.0,620,12045.806062
52.0,774,12063.388079
47.0,642,12077.924343
60.0,980,12100.413964
58.0,694,12116.271131
102.0,808,12134.798919
25.0,442,12144.929268
120.0,1066,12169.420202
59.0,988,12191.927908
23.0,408,12201.216721
51.0,716,12217.657622
86.0,906,12238.436884
42.0,618,12252.510934
71.0,1070,12277.080907
76.0,1096,12302.331651
30.0,454,12312.679449
71.0,948,12334.475537
73.0,824,12353.484006
35.0,574,12366.703796
84.0,1138,12392.872052
120.0,824,12411.774021
50.0,638,12426.294636
51.0,726,12443.015885
39.0,674,12458.584865
105.0,680,12474.100876
57.0,634,12488.591355
39.0,690,12504.490819
74.0,895,12525.041267
59.0,898,12545.536893
52.0,758,12563.012141
54.0,926,12584.288771
53.0,778,12602.024761
58.0,876,12622.107873
46.0,690,12637.978773
61.0,26996,13254.128741
63.0,964,13276.185555
34.0,669,13291.682775
40.0,492,13302.959531
21.0,430,13312.795011
33.0,479,13323.667494
66.0,772,13341.336676
66.0,960,13363.278295
47.0,671,13378.584309
101.0,596,13392.171394
29.0,664,13407.183633
53.0,770,13424.725876
37.0,682,13440.292488
45.0,724,13456.783908
80.0,1034,13480.464896
51.0,808,13498.725489
51.0,626,13512.889636
112.0,794,13531.067521
53.0,690,13546.861293
53.0,704,13562.749723
55.0,656,13577.773878
55.0,768,13595.419312
79.0,926,13616.681821
58.0,916,13637.610386
45.0,812,13656.185926
40.0,670,13671.425406
110.0,24790,14235.973995
54.0,734,14252.897601
50.0,852,14272.435864
43.0,764,14289.857971
57.0,552,14302.387635
43.0,678,14318.000854
99.0,604,14331.810607
19.0,412,14341.196531
44.0,618,14355.427503
111.0,846,14374.657585
42.0,904,14395.243308
48.0,686,14410.789733
107.0,790,14428.914834
67.0,964,14450.922099
66.0,700,14466.899501
52.0,792,14484.91323
52.0,686,14500.445276
58.0,784,14518.35967
43.0,656,14533.270427
119.0,836,14552.33477
63.0,806,14570.678634
49.0,774,14588.191162
40.0,540,14600.63807
35.0,594,14614.161379
109.0,692,14629.820502
36.0,814,14648.342119
135.0,804,14666.655025
52.0,788,14684.678221
38.0,584,14697.809469
74.0,796,14716.028004
50.0,857,14735.629328
41.0,470,14746.419537
61.0,784,14764.15805
66.0,806,14782.537798
31.0,456,14793.030859
43.0,658,14807.931197
66.0,714,14824.234784
51.0,670,14839.616736
104.0,892,14859.873271
75.0,646,14874.509888
50.0,742,14891.538591
59.0,716,14907.917005
72.0,724,14924.440824
26.0,434,14934.248143
47.0,710,14950.432601
60.0,684,14966.09483
85.0,1212,14993.620294
29.0,410,15002.792346
31.0,492,15014.063431
62.0,650,15028.767166
50.0,594,15042.321805
78.0,738,15059.167748
54.0,784,15077.13548
44.0,548,15089.483155
39.0,656,15104.486598
75.0,827,15123.297228
130.0,932,15144.524197
73.0,798,15162.743967
28.0,480,15173.58332
41.0,492,15184.780177
44.0,692,15200.341323
43.0,612,15214.462744
11.0,424,15224.043034
46.0,638,15238.483675
50.0,630,15252.879404
63.0,798,15271.063818
116.0,634,15285.471267
31.0,466,15296.18576
65.0,888,15316.31866
39.0,782,15334.164779
35.0,636,15348.679774
60.0,768,15366.130179
43.0,630,15380.686539
58.0,698,15396.357725
56.0,590,15409.905745
35.0,528,15421.936476
50.0,618,15436.387589
59.0,648,15451.358316
54.0,700,15467.326498
66.0,748,15484.169829
52.0,766,15501.73409
45.0,536,15513.988662
126.0,892,15534.301895
42.0,610,15548.082207
103.0,622,15562.306656
39.0,548,15574.780981
54.0,752,15591.814503
71.0,650,15606.686668
50.0,736,15623.486107
37.0,554,15636.063972
100.0,574,15649.236999
61.0,592,15662.589156
64.0,832,15681.425724
117.0,816,15699.952073
44.0,653,15714.951979
37.0,590,15728.418658
35.0,628,15742.570902
59.0,684,15758.187467
133.0,836,15777.276483
191.0,670,15792.6679
39.0,652,15807.473243
55.0,694,15823.347598
57.0,664,15838.480519
40.0,606,15852.20186
15.0,442,15862.428725
122.0,854,15881.926322
56.0,776,15899.379214
112.0,664,15914.625378
41.0,574,15927.866112
87.0,792,15945.951268
43.0,682,15961.451111
122.0,806,15979.901577
210.0,812,15998.434535
261.0,1062,16022.61639
43.0,622,16036.8271
55.0,700,16052.756601
57.0,884,16072.880306
53.0,626,16087.17188
57.0,742,16104.147724
119.0,788,16121.947846
117.0,814,16140.381214
40.0,604,16154.192454
43.0,518,16166.033767
217.0,950,16187.756846
52.0,656,16202.542352
50.0,595,16216.182402
200.0,774,16233.794774
119.0,830,16252.708754
67.0,602,16266.350891
121.0,694,16282.261966
67.0,818,16300.877361
80.0,838,16320.03073
39.0,656,16334.819916
58.0,764,16352.249734
57.0,726,16368.786169
48.0,770,16386.390675
250.0,992,16409.070988
64.0,742,16426.038378
359.0,800,16444.129932
41.0,598,16457.785982
64.0,556,16470.535586
54.0,626,16484.778767
27.0,422,16494.52054
42.0,514,16506.060802
95.0,592,16519.562182
63.0,660,16534.556438
63.0,882,16554.611064
49.0,684,16570.275658
92.0,738,16587.100269
50.0,690,16602.819832
119.0,698,16618.465056
39.0,504,16630.00779
