#{"t_start": 1771234771.0622847, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.0604
15.0,414,2.30736
21.0,434,2.596809
14.0,534,2.91223
7.0,322,3.111018
15.0,530,3.423932
18.0,416,3.674698
11.0,402,3.913328
10.0,440,4.179794
11.0,378,4.408604
8.0,386,4.637294
6.0,352,4.852988
24.0,506,5.15735
15.0,386,5.3939
22.0,432,5.653306
12.0,382,5.883391
15.0,424,6.140374
12.0,388,6.37625
15.0,392,6.610158
10.0,332,6.812093
20.0,404,7.057113
22.0,536,7.379512
14.0,694,7.784732
10.0,382,8.778653
24.0,504,10.114691
5.0,356,11.108191
10.0,666,12.915096
15.0,494,14.215104
11.0,334,15.117259
10.0,370,16.090871
9.0,424,17.175293
14.0,390,18.228597
10.0,378,19.278288
50.0,662,21.109253
17.0,514,22.461277
27.0,494,23.850389
15.0,372,24.915399
15.0,416,26.290376
18.0,478,27.807683
15.0,364,29.009251
17.0,388,30.262149
17.0,400,31.471287
19.0,514,32.984367
17.0,482,34.359782
20.0,588,36.043151
15.0,654,37.960427
23.0,438,39.295954
23.0,526,40.859618
18.0,646,42.748226
17.0,382,43.898439
91.0,666,45.775319
17.0,398,46.923198
18.0,366,47.980507
12.0,404,49.293443
15.0,352,50.513134
12.0,352,51.766855
9.0,370,53.044602
12.0,356,54.235011
15.0,428,55.622917
15.0,390,56.862482
24.0,550,58.524383
108.0,828,61.065918
12.0,322,62.027486
19.0,500,63.534949
13.0,378,64.702916
17.0,474,66.116121
16.0,356,67.167319
18.0,596,68.981788
11.0,428,70.279614
14.0,338,71.320877
48.0,758,73.997976
13.0,358,75.281251
14.0,382,76.639332
17.0,390,78.009608
11.0,378,79.195744
12.0,378,80.408576
18.0,378,81.607896
20.0,490,83.170229
26.0,512,84.815585
14.0,396,86.136386
19.0,396,87.462919
18.0,478,88.965146
15.0,454,90.42831
26.0,478,91.934341
107.0,834,94.560895
17.0,390,95.96581
22.0,428,97.537099
14.0,426,99.159409
20.0,606,101.313176
27.0,560,103.225171
12.0,402,104.551552
34.0,530,106.338954
12.0,426,107.839926
16.0,378,109.097703
21.0,532,110.860785
22.0,402,112.194209
14.0,376,113.445957
15.0,398,114.763085
28.0,456,116.264496
28.0,562,118.140834
34.0,646,120.597764
20.0,488,122.396462
18.0,422,123.984244
31.0,492,125.736281
9.0,406,127.144907
19.0,450,128.742403
17.0,482,130.515765
89.0,546,132.364441
17.0,372,133.634194
43.0,692,136.125335
14.0,374,137.415448
34.0,586,139.481172
60.0,660,141.816618
15.0,420,143.470494
33.0,502,145.475326
18.0,386,147.027699
29.0,640,149.425543
18.0,412,150.953743
38.0,770,153.717268
14.0,384,155.19648
20.0,380,156.568415
22.0,390,158.037201
14.0,360,159.323287
35.0,592,161.406738
19.0,426,162.949363
48.0,706,165.63125
31.0,374,167.154739
59.0,1114,171.713406
32.0,718,174.396585
20.0,480,176.203938
25.0,410,177.708197
29.0,428,179.229014
20.0,396,180.757724
23.0,462,182.56713
28.0,662,185.006125
21.0,536,186.977728
26.0,536,189.213083
28.0,458,191.129233
21.0,448,192.971424
13.0,402,194.556097
14.0,398,196.085805
32.0,634,198.544013
21.0,460,200.311157
31.0,530,202.31686
38.0,507,204.274871
29.0,758,207.17816
51.0,592,209.419469
23.0,494,211.472813
20.0,408,213.28224
16.0,376,214.945978
33.0,688,217.789352
35.0,508,219.788213
56.0,644,222.370417
42.0,532,224.529698
27.0,484,226.470061
56.0,742,229.334878
23.0,426,230.968361
16.0,430,232.593061
61.0,864,236.355355
88.0,1050,240.861824
26.0,500,242.85886
64.0,720,245.651824
33.0,450,247.379937
54.0,742,250.220823
44.0,604,252.475092
23.0,390,253.945585
