#{"t_start": 1771861010.5671675, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.09411
15.0,414,2.362943
21.0,434,2.674196
14.0,534,3.01176
7.0,322,3.226995
15.0,530,3.562851
18.0,416,3.830311
11.0,402,4.085606
10.0,440,4.376586
11.0,378,4.622396
8.0,386,4.869699
6.0,352,5.097486
24.0,506,5.425681
15.0,386,5.675331
22.0,432,5.95346
12.0,382,6.197548
15.0,424,6.474126
12.0,388,6.72459
15.0,392,6.975297
10.0,332,7.190957
20.0,404,7.451878
22.0,536,7.805524
14.0,694,8.247861
13.0,358,13.311864
11.0,348,19.83619
17.0,484,29.008214
13.0,454,37.507693
15.0,420,45.256011
16.0,390,52.759929
22.0,424,60.736713
20.0,418,68.627182
20.0,372,75.913268
10.0,352,82.589155
23.0,462,91.316945
15.0,410,99.328513
23.0,448,107.872
17.0,432,116.255311
16.0,450,124.992975
18.0,408,132.832691
10.0,350,139.709573
17.0,518,149.830984
15.0,430,158.204314
13.0,342,165.01306
20.0,446,173.790745
13.0,368,181.01482
12.0,358,188.270051
23.0,416,196.505756
15.0,384,204.130682
16.0,420,212.635062
16.0,386,220.245299
28.0,530,230.914981
32.0,526,241.466493
30.0,522,252.035789
28.0,606,264.315982
17.0,418,272.774568
13.0,368,280.264915
14.0,344,287.247863
29.0,488,297.1848
18.0,480,307.005467
15.0,420,315.702219
30.0,526,326.421863
54.0,624,339.283216
27.0,408,347.63269
36.0,716,362.591361
33.0,511,373.035675
20.0,414,381.680018
14.0,414,390.306484
20.0,470,400.034719
19.0,392,408.291063
20.0,456,417.811572
15.0,388,426.050698
48.0,690,440.581825
16.0,432,449.868552
177.0,614,462.83596
17.0,374,470.790529
26.0,584,483.280791
29.0,426,492.41281
20.0,556,504.256296
40.0,587,517.106359
15.0,444,526.613909
18.0,382,534.84498
34.0,508,545.838897
16.0,420,554.838963
16.0,484,565.520335
15.0,454,575.358729
16.0,478,586.01532
17.0,408,594.93603
22.0,524,606.638647
22.0,500,617.639947
38.0,584,630.650884
18.0,368,638.698115
26.0,540,650.956502
29.0,484,661.619463
14.0,384,670.376105
17.0,538,682.35597
16.0,466,692.999957
43.0,868,712.516499
28.0,432,722.265284
50.0,522,734.302847
19.0,510,746.016896
27.0,496,757.336294
17.0,406,766.55564
32.0,536,778.949809
33.0,558,791.739032
18.0,428,801.718228
22.0,468,812.390681
27.0,492,823.882442
30.0,474,834.748316
14.0,460,845.545288
29.0,546,858.186048
32.0,726,875.084837
40.0,762,892.82468
18.0,444,903.175677
23.0,642,918.153239
24.0,470,929.042281
25.0,394,938.310507
12.0,350,946.330357
28.0,546,959.158684
39.0,894,979.934334
19.0,406,989.376345
23.0,476,1000.616975
33.0,554,1013.426275
39.0,682,1029.394172
18.0,494,1040.961971
41.0,910,1062.150127
26.0,568,1075.486698
39.0,552,1088.506399
25.0,534,1100.960103
10.0,350,1109.263077
19.0,496,1120.734045
21.0,374,1129.550739
19.0,588,1143.242226
34.0,782,1161.577525
16.0,416,1171.262655
12.0,410,1180.862246
34.0,692,1196.998465
18.0,462,1207.764879
32.0,730,1224.846915
15.0,428,1234.648815
21.0,392,1243.958321
24.0,460,1254.591286
38.0,534,1267.067147
64.0,774,1285.190003
18.0,414,1294.763819
25.0,768,1312.646854
22.0,488,1324.023723
63.0,1044,1348.284552
35.0,490,1359.700817
33.0,846,1379.338135
45.0,892,1400.177487
31.0,992,1423.209036
37.0,768,1441.181781
32.0,546,1453.807198
27.0,704,1470.256813
29.0,688,1486.284579
22.0,524,1498.381418
16.0,468,1509.340703
20.0,400,1518.501973
33.0,578,1532.19061
27.0,558,1545.18708
40.0,732,1562.178391
120.0,790,1580.658758
97.0,696,1597.031258
29.0,488,1608.35069
22.0,744,1625.683796
41.0,578,1639.236154
53.0,780,1657.577219
21.0,406,1667.11571
10.0,336,1674.913698
48.0,778,1693.071146
31.0,582,1706.731173
29.0,546,1719.517858
17.0,394,1728.813025
21.0,410,1738.275482
13.0,328,1746.078938
18.0,402,1755.393905
32.0,614,1769.776019
39.0,622,1784.20468
36.0,588,1797.995428
18.0,356,1806.278816
18.0,354,1814.624755
25.0,454,1825.190472
35.0,436,1835.467573
8.0,320,1842.91174
11.0,336,1850.678759
13.0,450,1861.164393
46.0,780,1879.289
39.0,756,1896.801148
21.0,656,1912.037609
28.0,694,1928.274782
30.0,708,1944.796123
26.0,692,1960.843987
27.0,462,1971.717289
55.0,940,1993.755462
32.0,624,2008.418429
38.0,888,2029.082772
29.0,744,2046.337518
128.0,16486,2430.834687
13.0,400,2439.962315
16.0,488,2451.459353
14.0,436,2461.441284
30.0,526,2473.803996
27.0,640,2488.707004
27.0,516,2500.674663
28.0,684,2516.717156
27.0,446,2527.065307
16.0,452,2537.717244
30.0,576,2551.004386
15.0,524,2563.31301
14.0,464,2574.073135
20.0,536,2586.639814
16.0,414,2596.2389
23.0,454,2606.89854
19.0,494,2618.313817
22.0,454,2628.892984
16.0,452,2639.376817
16.0,404,2648.908176
20.0,514,2660.848286
38.0,553,2673.81272
22.0,450,2684.362278
28.0,530,2696.7588
25.0,634,2711.681539
18.0,478,2722.67507
29.0,636,2737.645859
16.0,424,2747.376483
39.0,764,2765.153263
14.0,440,2775.497751
28.0,678,2791.181833
14.0,492,2802.752225
8.0,464,2813.460304
31.0,547,2826.344378
13.0,486,2837.65898
13.0,414,2847.277649
15.0,400,2856.445972
9.0,482,2867.884474
8.0,478,2878.988285
23.0,462,2889.759368
25.0,448,2900.103216
13.0,384,2909.037699
44.0,914,2930.280786
11.0,470,2941.124055
13.0,416,2950.853091
13.0,362,2959.172039
27.0,538,2971.756714
28.0,754,2989.089287
8.0,350,2997.345463
22.0,664,3012.807493
13.0,542,3025.436892
23.0,436,3035.584252
14.0,368,3044.196532
22.0,440,3054.382036
14.0,382,3063.397686
23.0,520,3075.431918
20.0,452,3086.110353
18.0,414,3095.667663
8.0,476,3106.89729
34.0,666,3122.359925
48.0,756,3139.868349
29.0,684,3155.875868
8.0,302,3162.818346
16.0,388,3172.018809
24.0,460,3182.65407
41.0,638,3197.716218
18.0,372,3206.263485
19.0,444,3216.774892
20.0,502,3228.316613
20.0,470,3239.307481
17.0,414,3248.865331
18.0,558,3261.902608
14.0,420,3271.517669
32.0,730,3288.682353
39.0,684,3304.723041
29.0,736,3321.874587
27.0,650,3336.846233
36.0,628,3351.635048
27.0,750,3369.091775
40.0,816,3388.021229
51.0,954,3410.218167
24.0,446,3420.557494
62.0,904,3441.66793
19.0,470,3452.640376
54.0,996,3475.846485
51.0,755,3493.326977
33.0,642,3508.267239
24.0,616,3522.685254
31.0,658,3537.930143
29.0,584,3551.575458
33.0,600,3565.606627
18.0,464,3576.248894
35.0,658,3591.50778
28.0,652,3606.658107
26.0,590,3620.305261
23.0,654,3635.638834
41.0,730,3652.721802
28.0,594,3666.475265
25.0,638,3681.454366
25.0,596,3695.434459
36.0,682,3711.298939
32.0,628,3725.99944
11.0,374,3734.796755
26.0,614,3749.007266
39.0,606,3763.175228
37.0,934,3784.943074
21.0,548,3797.579902
32.0,688,3813.809137
30.0,640,3828.879423
51.0,986,3851.952052
42.0,748,3869.476307
16.0,536,3881.974092
35.0,722,3898.757699
32.0,686,3914.754103
40.0,756,3932.348286
15.0,438,3942.614748
32.0,656,3957.875438
33.0,626,3972.232453
24.0,730,3989.297126
24.0,756,4006.972354
24.0,630,4021.778699
50.0,879,4042.145069
29.0,756,4059.547724
43.0,736,4076.661904
15.0,526,4088.999377
58.0,1132,4115.373238
42.0,806,4134.249509
33.0,638,4149.218511
10.0,480,4160.377224
72.0,890,4181.158563
37.0,630,4195.824895
50.0,738,4212.891937
33.0,642,4227.965562
58.0,630,4242.658275
25.0,490,4253.959896
39.0,732,4271.175788
23.0,426,4281.104919
34.0,570,4294.37652
