#{"t_start": 1771809980.530912, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.16478
15.0,414,2.424267
21.0,434,2.729707
14.0,534,3.063081
7.0,322,3.28101
15.0,530,3.611145
18.0,416,3.872824
11.0,402,4.129442
10.0,440,4.428608
11.0,378,4.742933
8.0,386,5.055819
6.0,352,5.279341
24.0,506,5.597023
15.0,386,5.840196
22.0,432,6.109408
12.0,382,6.347709
15.0,424,6.616692
12.0,388,6.862554
15.0,392,7.107503
10.0,332,7.316527
20.0,404,7.57233
22.0,536,7.904371
14.0,694,8.327083
15.0,366,9.779437
18.0,448,11.768446
18.0,412,13.591559
16.0,374,15.251703
20.0,396,17.03635
26.0,530,19.546873
37.0,696,22.981061
12.0,422,25.09816
12.0,324,26.611281
38.0,536,29.260592
31.0,562,31.930748
25.0,528,34.610338
22.0,412,36.617655
22.0,484,38.992087
43.0,670,42.533114
22.0,446,44.8331
23.0,440,47.116115
21.0,444,49.365195
27.0,484,51.893224
19.0,478,54.396082
21.0,528,57.005887
12.0,406,59.043168
23.0,490,61.570628
22.0,394,63.690342
20.0,400,65.78036
25.0,462,68.049745
18.0,396,70.045516
27.0,674,73.320613
32.0,478,75.597005
16.0,380,77.41561
46.0,782,81.444912
41.0,644,84.65176
10.0,374,86.665546
36.0,596,89.493835
19.0,428,91.527508
80.0,932,95.946529
21.0,340,97.576105
38.0,704,101.066476
25.0,636,104.293787
19.0,434,106.588962
57.0,850,110.75531
34.0,610,113.788912
23.0,408,115.802724
18.0,378,117.641601
49.0,562,120.339118
25.0,418,122.431649
26.0,416,124.465234
20.0,332,126.113443
34.0,516,128.665343
35.0,540,131.313168
41.0,502,133.737247
44.0,674,137.038767
114.0,590,139.993548
40.0,476,142.373209
23.0,524,145.292875
44.0,696,148.931339
31.0,526,151.67933
37.0,564,154.542862
43.0,432,156.87521
37.0,602,159.872848
33.0,426,162.190241
37.0,556,165.226713
49.0,622,168.611839
43.0,564,171.567762
38.0,478,174.15911
30.0,436,176.535189
73.0,756,180.468889
28.0,390,182.419379
44.0,522,185.053407
57.0,676,188.515036
23.0,346,190.305578
55.0,758,194.355856
33.0,488,196.970452
24.0,420,199.17524
34.0,400,201.217796
45.0,518,203.910791
20.0,366,205.791428
25.0,432,208.090643
55.0,902,212.725606
37.0,506,215.461493
32.0,466,217.770747
38.0,450,220.144146
