#{"t_start": 1771884073.93167, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,3.04634
15.0,414,3.35023
21.0,434,3.707549
14.0,534,4.090488
7.0,322,4.365331
15.0,530,4.740169
18.0,416,5.039936
11.0,402,5.33546
10.0,440,5.653785
11.0,378,5.927165
8.0,386,6.203151
6.0,352,6.455151
24.0,506,6.826558
15.0,386,7.110091
22.0,432,7.425127
12.0,382,7.695788
15.0,424,8.037658
12.0,388,8.325905
15.0,392,8.60466
10.0,332,8.842842
20.0,404,9.130503
22.0,536,9.510556
14.0,694,10.194649
13.0,358,15.967403
11.0,348,23.258219
17.0,484,33.041394
13.0,454,42.494313
15.0,420,51.135617
16.0,390,59.161769
22.0,424,68.040608
20.0,418,76.79024
20.0,372,84.643999
10.0,352,91.945855
23.0,462,101.609013
15.0,410,110.322411
23.0,448,119.796627
17.0,432,129.044393
16.0,450,138.8025
18.0,408,147.527657
10.0,350,155.167892
17.0,518,166.894553
15.0,430,176.30074
13.0,342,183.79513
20.0,446,193.666008
13.0,368,201.780145
12.0,358,209.920121
23.0,416,219.515354
15.0,384,228.069168
16.0,420,237.377577
16.0,386,245.594592
28.0,530,257.107123
32.0,526,268.673578
30.0,522,280.206967
28.0,606,293.874067
17.0,418,302.945085
13.0,368,311.179662
14.0,344,318.729666
29.0,488,329.344334
16.0,400,338.258776
16.0,354,346.267343
23.0,434,356.492693
14.0,386,365.428265
15.0,420,375.18835
18.0,420,384.831316
24.0,446,394.795765
32.0,534,406.876573
31.0,494,418.01678
26.0,520,429.668442
20.0,420,439.157323
15.0,328,446.43078
29.0,566,459.395891
25.0,494,470.466256
17.0,518,482.490328
12.0,446,492.668831
30.0,520,504.529396
14.0,472,515.575108
22.0,476,526.642831
18.0,368,535.081632
19.0,380,543.880645
18.0,456,554.451589
24.0,440,564.655542
24.0,528,577.012398
22.0,422,586.764663
51.0,696,602.877378
25.0,500,614.475886
26.0,414,623.959105
23.0,492,635.763558
28.0,736,652.789193
22.0,540,665.549347
27.0,1312,697.726814
60.0,828,720.246152
16.0,442,731.11418
17.0,388,741.128921
21.0,530,756.548712
16.0,408,768.710565
21.0,568,785.184058
33.0,602,802.392108
17.0,500,815.543842
37.0,770,838.275941
25.0,680,857.412467
22.0,564,874.114677
24.0,452,887.415657
12.0,394,899.255239
15.0,394,911.3612
16.0,406,923.432612
