#{"t_start": 1771813371.144424, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.083325
15.0,414,2.332093
21.0,434,2.621885
14.0,534,2.936547
7.0,322,3.150835
15.0,530,3.461059
18.0,416,3.7116
11.0,402,3.957935
10.0,440,4.223263
11.0,378,4.44901
8.0,386,4.681298
6.0,352,4.895128
24.0,506,5.197917
15.0,386,5.425153
22.0,432,5.683342
12.0,382,5.910055
15.0,424,6.168786
12.0,388,6.398742
15.0,392,6.631145
10.0,332,6.83415
20.0,404,7.082339
22.0,536,7.40379
14.0,694,7.8099
20.0,406,9.052465
13.0,390,10.332353
13.0,476,11.915219
42.0,704,14.25093
31.0,584,16.196442
19.0,380,17.513017
19.0,482,19.168023
20.0,460,20.71675
25.0,554,22.643539
171.0,530,24.461482
27.0,498,26.425816
27.0,512,28.506918
72.0,737,31.296314
20.0,394,32.770315
19.0,352,34.084186
50.0,754,36.904883
24.0,470,38.663465
21.0,508,40.547956
24.0,470,42.279155
19.0,518,44.209601
35.0,688,46.798706
17.0,372,48.394374
33.0,664,51.22595
19.0,472,53.266411
94.0,688,55.913613
36.0,872,59.320923
24.0,542,61.374845
39.0,684,63.977321
50.0,555,66.051765
26.0,530,68.041909
20.0,432,69.684222
22.0,394,71.181231
11.0,402,72.693674
59.0,640,75.115357
60.0,1030,79.509959
32.0,504,81.55707
63.0,666,84.320175
37.0,552,86.644973
25.0,480,88.597187
25.0,452,90.408597
47.0,768,93.519055
27.0,476,95.309948
20.0,428,96.939737
29.0,614,99.248129
65.0,842,102.412071
39.0,524,104.389019
38.0,567,106.73022
38.0,706,109.54528
48.0,580,111.761972
33.0,576,113.941503
101.0,866,117.210424
107.0,26996,221.365377
36.0,622,224.283073
47.0,742,227.464628
48.0,780,230.548458
65.0,990,234.508866
75.0,1114,238.958517
50.0,920,242.72772
34.0,628,245.472281
62.0,687,248.393924
70.0,1160,253.033015
58.0,764,256.358196
78.0,878,260.101774
48.0,752,263.116681
46.0,808,266.309344
50.0,752,269.241888
32.0,624,271.659086
70.0,782,274.641907
56.0,752,277.963804
