#{"t_start": 1771815533.7697196, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.768837
15.0,414,3.078901
21.0,434,3.474292
14.0,534,3.839663
7.0,322,4.074418
15.0,530,4.440991
18.0,416,4.733151
11.0,402,5.022222
10.0,440,5.339344
11.0,378,5.642171
8.0,386,5.916464
6.0,352,6.160029
24.0,506,6.503572
15.0,386,6.765216
22.0,432,7.05711
12.0,382,7.321648
15.0,424,7.610891
12.0,388,7.889904
15.0,392,8.154603
10.0,332,8.383134
20.0,404,8.66478
22.0,536,9.038074
14.0,694,9.495389
12.0,448,13.732481
23.0,510,18.860679
47.0,712,26.545953
26.0,526,32.09501
20.0,454,36.699131
23.0,388,40.891767
14.0,394,45.437674
12.0,332,49.012784
16.0,488,54.557148
60.0,770,62.813304
18.0,430,67.26118
25.0,426,71.618373
28.0,544,78.122021
18.0,440,83.377167
11.0,360,87.271931
52.0,571,93.185554
36.0,698,101.086689
11.0,344,105.166683
15.0,368,109.016911
30.0,560,114.881921
67.0,706,122.218695
20.0,434,126.66286
30.0,730,134.338277
36.0,508,139.933896
36.0,478,144.970313
53.0,836,153.651351
52.0,614,159.984861
37.0,606,166.451667
28.0,414,171.186659
42.0,568,177.912597
26.0,466,183.360644
31.0,436,188.454842
27.0,470,193.94677
36.0,706,202.398701
36.0,542,208.635215
30.0,576,215.349174
56.0,658,222.678101
45.0,784,231.128728
26.0,426,235.823139
98.0,577,241.981388
54.0,512,247.329786
91.0,564,253.254119
50.0,710,261.210525
39.0,482,266.414404
41.0,622,273.461382
32.0,484,278.675858
28.0,596,285.319716
27.0,628,291.820019
29.0,512,298.257586
36.0,634,305.418626
30.0,462,311.002516
34.0,634,318.446228
24.0,428,323.106756
29.0,451,328.120749
32.0,484,333.34729
29.0,416,337.720483
74.0,1052,349.529586
30.0,670,357.172623
35.0,522,363.20685
34.0,446,368.140461
53.0,670,375.580111
42.0,516,381.492572
32.0,540,387.350194
40.0,832,396.432978
44.0,592,403.502455
32.0,676,411.483291
34.0,488,416.982178
29.0,448,422.121123
50.0,764,430.80315
52.0,942,441.231066
26.0,518,446.796423
22.0,370,450.744299
35.0,644,458.114257
23.0,398,462.161053
54.0,720,469.745918
36.0,500,474.82539
27.0,544,480.338611
30.0,478,485.240776
42.0,650,492.075521
33.0,504,497.428309
38.0,630,503.897764
50.0,658,510.817544
36.0,482,515.772209
34.0,524,521.384215
31.0,494,526.816523
27.0,446,531.380887
58.0,816,540.749009
42.0,618,547.940804
32.0,542,554.123642
45.0,744,562.135405
48.0,688,570.012504
37.0,550,576.45115
52.0,792,585.814461
51.0,662,593.111539
54.0,760,601.486547
71.0,739,609.77746
48.0,649,616.775588
68.0,816,625.401711
67.0,777,633.850717
40.0,468,638.571275
41.0,646,645.134296
48.0,648,651.753747
65.0,722,659.418887
64.0,862,668.770806
99.0,942,678.588882
51.0,818,687.034345
187.0,773,695.075175
74.0,890,704.632264
27.0,398,708.743991
45.0,812,716.957036
38.0,558,722.72234
73.0,812,731.54595
59.0,910,741.082007
43.0,670,747.919693
43.0,524,753.283863
67.0,876,762.793848
37.0,666,769.669394
50.0,746,777.733841
53.0,776,785.555821
51.0,694,792.547821
60.0,700,799.560781
47.0,680,806.615536
59.0,684,813.444177
43.0,578,819.748294
57.0,704,827.148827
25.0,424,831.699258
48.0,686,838.889893
81.0,976,849.147305
54.0,816,857.612607
45.0,628,864.355999
54.0,598,870.481116
44.0,636,876.965653
42.0,534,882.447313
40.0,526,887.762245
62.0,774,895.744631
45.0,616,902.204648
42.0,510,907.464327
44.0,624,913.981616
43.0,528,919.5951
50.0,708,927.323689
46.0,646,934.655266
39.0,460,939.580871
39.0,556,945.756747
41.0,534,951.694719
33.0,504,957.374562
64.0,968,968.173922
39.0,500,973.591422
35.0,672,980.576619
74.0,692,988.580535
47.0,718,996.353139
36.0,726,1004.026625
47.0,642,1010.983371
25.0,388,1015.119879
40.0,520,1020.660911
30.0,474,1025.633908
207.0,778,1033.777017
33.0,472,1038.610262
66.0,750,1046.377483
89.0,676,1053.710313
65.0,826,1062.761592
73.0,950,1073.086704
55.0,644,1079.901894
42.0,498,1085.17718
54.0,861,1094.120158
44.0,640,1101.083405
19.0,516,1106.798651
48.0,596,1113.55012
43.0,700,1120.561156
81.0,724,1128.578051
40.0,700,1135.63183
140.0,937,1145.941818
54.0,581,1152.287399
51.0,617,1158.727573
108.0,878,1167.810748
23.0,396,1171.962589
67.0,1030,1183.646848
36.0,532,1189.296445
49.0,806,1197.704637
25.0,446,1202.620745
52.0,540,1208.593405
60.0,984,1218.972129
66.0,878,1228.29248
44.0,632,1235.078086
42.0,542,1241.049534
56.0,714,1248.511693
78.0,894,1257.632971
55.0,622,1264.215331
77.0,918,1275.611698
57.0,734,1283.505213
69.0,910,1293.745806
42.0,487,1299.048242
72.0,962,1309.895802
97.0,792,1318.801146
211.0,918,1330.523586
37.0,546,1337.651347
69.0,864,1347.717078
39.0,538,1354.816855
128.0,898,1364.663582
107.0,631,1371.861201
73.0,624,1378.554602
103.0,752,1386.741855
34.0,508,1392.4388
94.0,670,1399.637108
45.0,784,1408.162153
33.0,436,1412.80451
71.0,852,1421.866549
53.0,634,1428.617836
28.0,498,1434.025059
37.0,560,1440.329
84.0,1054,1452.351042
64.0,814,1461.422438
29.0,448,1466.428383
51.0,784,1474.834468
77.0,902,1485.368698
118.0,1076,1496.772458
37.0,490,1501.929196
54.0,771,1510.419497
114.0,800,1520.43615
26.0,426,1526.247264
51.0,624,1534.83063
96.0,931,1547.431037
39.0,628,1555.807127
27.0,542,1563.067673
59.0,724,1570.825083
130.0,850,1580.410009
50.0,616,1587.012434
57.0,810,1595.485855
225.0,814,1603.853292
84.0,714,1611.110489
59.0,668,1618.000645
52.0,634,1624.639608
49.0,816,1633.033677
94.0,1112,1644.240422
52.0,580,1650.131647
54.0,624,1656.556235
85.0,788,1664.843726
88.0,830,1673.893574
98.0,940,1684.89645
50.0,634,1692.77147
67.0,846,1702.441828
66.0,866,1711.908454
62.0,748,1720.306728
66.0,976,1731.987276
55.0,596,1739.060256
57.0,830,1748.554905
68.0,994,1758.822438
77.0,786,1767.018272
85.0,1058,1778.059935
56.0,722,1785.431548
65.0,884,1794.826539
480.0,1000,1806.062913
202.0,728,1814.160856
50.0,548,1819.882099
62.0,936,1829.841605
113.0,792,1838.303271
114.0,616,1844.904263
85.0,840,1853.959328
83.0,778,1862.450643
38.0,492,1867.709666
62.0,732,1875.359341
80.0,802,1884.410132
93.0,862,1894.081831
34.0,428,1899.344338
98.0,930,1910.461068
146.0,1013,1921.41819
200.0,784,1930.508887
64.0,780,1938.966352
93.0,765,1947.581341
195.0,668,1955.397513
71.0,898,1967.052267
99.0,1130,1980.021237
55.0,621,1987.053075
87.0,790,1995.774459
70.0,750,2003.654012
78.0,938,2013.359447
197.0,768,2021.361607
116.0,626,2028.037215
65.0,824,2037.90691
184.0,1012,2049.352498
215.0,1096,2061.53621
35.0,490,2066.824127
76.0,648,2074.747546
37.0,686,2082.126643
65.0,694,2089.612691
